Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
GOLD,D1,2024-08-19 04:00,2509.27,2510.06,2485.60,2504.13,2024,3,8,34
GOLD,D1,2024-08-20 04:00,2503.47,2531.66,2497.29,2513.94,2024,3,8,34
GOLD,D1,2024-08-21 04:00,2513.11,2519.87,2493.41,2512.30,2024,3,8,34
GOLD,D1,2024-08-22 04:00,2511.45,2514.63,2470.77,2484.60,2024,3,8,34
GOLD,D1,2024-08-23 04:00,2485.03,2518.27,2484.30,2512.36,2024,3,8,34
GOLD,D1,2024-08-26 04:00,2511.33,2526.84,2508.65,2517.90,2024,3,8,35
GOLD,D1,2024-08-27 04:00,2518.13,2525.89,2503.45,2524.65,2024,3,8,35
GOLD,D1,2024-08-28 04:00,2524.75,2529.00,2493.59,2504.54,2024,3,8,35
GOLD,D1,2024-08-29 04:00,2504.25,2528.63,2503.54,2521.10,2024,3,8,35
GOLD,D1,2024-08-30 04:00,2520.61,2526.87,2494.10,2503.21,2024,3,8,35
GOLD,D1,2024-09-02 04:00,2502.42,2507.23,2489.96,2498.99,2024,3,9,36
GOLD,D1,2024-09-03 04:00,2499.57,2506.20,2473.13,2493.01,2024,3,9,36
GOLD,D1,2024-09-04 04:00,2492.71,2500.20,2471.85,2495.55,2024,3,9,36
GOLD,D1,2024-09-05 04:00,2494.46,2523.45,2493.77,2516.61,2024,3,9,36
GOLD,D1,2024-09-06 04:00,2516.46,2529.13,2485.04,2497.27,2024,3,9,36
GOLD,D1,2024-09-09 04:00,2496.72,2507.20,2485.50,2506.34,2024,3,9,37
GOLD,D1,2024-09-10 04:00,2506.38,2518.44,2500.06,2516.60,2024,3,9,37
GOLD,D1,2024-09-11 04:00,2516.36,2528.98,2500.87,2511.36,2024,3,9,37
GOLD,D1,2024-09-12 04:00,2510.85,2560.03,2510.85,2558.60,2024,3,9,37
GOLD,D1,2024-09-13 04:00,2558.19,2586.02,2556.57,2578.99,2024,3,9,37
GOLD,D1,2024-09-16 04:00,2578.72,2589.59,2575.12,2582.32,2024,3,9,38
GOLD,D1,2024-09-17 04:00,2582.00,2586.91,2560.71,2569.41,2024,3,9,38
GOLD,D1,2024-09-18 04:00,2569.34,2600.09,2546.74,2559.06,2024,3,9,38
GOLD,D1,2024-09-19 04:00,2558.58,2594.85,2551.03,2586.72,2024,3,9,38
GOLD,D1,2024-09-20 04:00,2586.16,2625.68,2584.78,2622.12,2024,3,9,38
GOLD,D1,2024-09-23 04:00,2621.38,2634.83,2613.76,2628.34,2024,3,9,39
GOLD,D1,2024-09-24 04:00,2627.56,2664.32,2622.55,2657.06,2024,3,9,39
GOLD,D1,2024-09-25 04:00,2657.81,2670.50,2649.73,2656.92,2024,3,9,39
GOLD,D1,2024-09-26 04:00,2656.55,2685.51,2654.74,2672.26,2024,3,9,39
