Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
GOLD,H4,2001-06-03 21:00,266.50,268.40,264.60,266.00,2001,2,6,22
GOLD,H4,2001-06-04 21:00,265.50,267.60,264.25,266.50,2001,2,6,23
GOLD,H4,2001-06-05 21:00,266.00,268.30,264.80,266.50,2001,2,6,23
GOLD,H4,2001-06-06 21:00,265.50,266.80,265.00,266.80,2001,2,6,23
GOLD,H4,2001-06-07 21:00,266.30,275.50,265.60,274.00,2001,2,6,23
GOLD,H4,2001-06-10 21:00,273.00,274.25,266.10,268.40,2001,2,6,23
GOLD,H4,2001-06-11 21:00,267.80,273.25,266.60,272.00,2001,2,6,24
GOLD,H4,2001-06-12 21:00,271.50,274.15,269.05,272.60,2001,2,6,24
GOLD,H4,2001-06-13 21:00,272.15,277.40,270.45,276.25,2001,2,6,24
GOLD,H4,2001-06-14 21:00,275.20,276.85,269.75,271.80,2001,2,6,24
GOLD,H4,2001-06-17 21:00,271.00,274.65,270.60,273.00,2001,2,6,24
GOLD,H4,2001-06-18 21:00,272.15,275.50,271.55,273.90,2001,2,6,25
GOLD,H4,2001-06-19 21:00,273.40,274.80,270.65,273.00,2001,2,6,25
GOLD,H4,2001-06-20 21:00,272.50,274.65,270.85,273.20,2001,2,6,25
GOLD,H4,2001-06-21 21:00,272.70,276.20,271.60,272.90,2001,2,6,25
GOLD,H4,2001-06-24 21:00,272.30,275.65,272.15,274.20,2001,2,6,25
GOLD,H4,2001-06-25 21:00,274.00,279.55,272.60,276.40,2001,2,6,26
GOLD,H4,2001-06-26 21:00,276.25,277.95,270.95,272.85,2001,2,6,26
GOLD,H4,2001-06-27 21:00,272.35,276.00,267.30,269.50,2001,2,6,26
GOLD,H4,2001-06-28 21:00,269.25,272.65,268.75,271.10,2001,2,6,26
GOLD,H4,2001-07-01 21:00,270.60,271.45,267.40,269.80,2001,3,7,26
GOLD,H4,2001-07-02 21:00,269.30,272.50,267.25,268.00,2001,3,7,27
GOLD,H4,2001-07-03 21:00,267.50,269.15,267.15,268.20,2001,3,7,27
GOLD,H4,2001-07-04 21:00,267.70,268.95,264.45,265.60,2001,3,7,27
GOLD,H4,2001-07-05 21:00,265.10,267.90,264.15,266.50,2001,3,7,27
GOLD,H4,2001-07-08 21:00,266.50,267.65,265.10,266.90,2001,3,7,27
GOLD,H4,2001-07-09 21:00,266.40,268.25,265.60,266.60,2001,3,7,28
GOLD,H4,2001-07-10 21:00,266.10,270.35,265.50,268.70,2001,3,7,28
GOLD,H4,2001-07-11 21:00,268.75,269.25,265.25,267.10,2001,3,7,28
GOLD,H4,2001-07-12 21:00,266.60,268.30,265.65,267.60,2001,3,7,28
GOLD,H4,2001-07-15 21:00,266.95,269.75,266.25,267.75,2001,3,7,28
GOLD,H4,2001-07-16 21:00,266.75,268.10,266.25,268.10,2001,3,7,29
GOLD,H4,2001-07-17 21:00,268.10,271.60,266.75,271.00,2001,3,7,29
GOLD,H4,2001-07-18 21:00,270.75,272.35,267.25,269.80,2001,3,7,29
GOLD,H4,2001-07-19 21:00,268.75,271.85,268.35,270.30,2001,3,7,29
GOLD,H4,2001-07-22 21:00,270.15,270.80,268.25,269.10,2001,3,7,29
GOLD,H4,2001-07-23 21:00,268.60,270.65,267.95,270.00,2001,3,7,30
GOLD,H4,2001-07-24 21:00,269.50,270.25,266.75,268.20,2001,3,7,30
GOLD,H4,2001-07-25 21:00,267.50,269.00,265.35,266.70,2001,3,7,30
GOLD,H4,2001-07-26 21:00,266.20,268.45,265.00,267.80,2001,3,7,30
GOLD,H4,2001-07-29 21:00,267.60,268.75,264.45,265.50,2001,3,7,30
GOLD,H4,2001-07-30 21:00,265.00,267.65,264.00,267.10,2001,3,7,31
GOLD,H4,2001-07-31 21:00,266.60,269.25,265.90,268.20,2001,3,7,31
GOLD,H4,2001-08-01 21:00,267.70,269.10,266.65,268.30,2001,3,8,31
GOLD,H4,2001-08-02 21:00,267.80,269.55,266.25,268.80,2001,3,8,31
GOLD,H4,2001-08-05 21:00,268.50,269.25,266.65,268.00,2001,3,8,31
GOLD,H4,2001-08-06 21:00,267.15,268.45,265.75,267.90,2001,3,8,32
GOLD,H4,2001-08-07 21:00,267.40,269.25,265.75,268.60,2001,3,8,32
GOLD,H4,2001-08-08 21:00,267.60,273.90,266.60,273.90,2001,3,8,32
GOLD,H4,2001-08-09 21:00,273.90,277.55,272.10,274.80,2001,3,8,32
GOLD,H4,2001-08-12 21:00,273.50,277.90,273.50,276.20,2001,3,8,32
GOLD,H4,2001-08-13 21:00,275.20,276.50,273.00,276.50,2001,3,8,33
GOLD,H4,2001-08-14 21:00,276.50,278.45,274.25,276.10,2001,3,8,33
GOLD,H4,2001-08-15 21:00,275.60,277.35,274.15,275.60,2001,3,8,33
GOLD,H4,2001-08-16 21:00,275.10,281.70,274.40,279.50,2001,3,8,33
GOLD,H4,2001-08-19 21:00,279.00,280.05,275.35,276.30,2001,3,8,33
GOLD,H4,2001-08-20 21:00,275.80,279.00,273.45,275.30,2001,3,8,34
GOLD,H4,2001-08-21 21:00,274.80,278.55,273.95,275.00,2001,3,8,34
GOLD,H4,2001-08-22 21:00,274.50,276.90,273.75,275.60,2001,3,8,34
GOLD,H4,2001-08-23 21:00,275.10,276.35,271.55,273.10,2001,3,8,34
GOLD,H4,2001-08-26 21:00,272.25,274.95,270.95,273.10,2001,3,8,34
GOLD,H4,2001-08-27 21:00,272.55,273.25,270.15,272.55,2001,3,8,35
GOLD,H4,2001-08-28 21:00,272.00,274.85,271.70,273.90,2001,3,8,35
GOLD,H4,2001-08-29 21:00,273.00,275.05,271.75,275.05,2001,3,8,35
GOLD,H4,2001-08-30 21:00,274.95,276.75,271.95,274.70,2001,3,8,35
GOLD,H4,2001-09-02 21:00,274.45,274.95,272.60,273.75,2001,3,9,35
GOLD,H4,2001-09-03 21:00,273.25,274.25,270.75,272.40,2001,3,9,36
GOLD,H4,2001-09-04 21:00,271.55,273.25,270.70,272.30,2001,3,9,36
GOLD,H4,2001-09-05 21:00,271.80,274.15,270.75,273.40,2001,3,9,36
GOLD,H4,2001-09-06 21:00,272.90,275.25,271.70,273.40,2001,3,9,36
