Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
GOLD,W1,2001-06-03 04:00,266.50,275.50,264.25,274.00,2001,2,6,22
GOLD,W1,2001-06-10 04:00,273.00,277.40,266.10,271.80,2001,2,6,23
GOLD,W1,2001-06-17 04:00,271.00,276.20,270.60,272.90,2001,2,6,24
GOLD,W1,2001-06-24 04:00,272.30,279.55,267.30,271.10,2001,2,6,25
GOLD,W1,2001-07-01 04:00,270.60,272.50,264.15,266.50,2001,3,7,26
GOLD,W1,2001-07-08 04:00,266.50,270.35,265.10,267.60,2001,3,7,27
GOLD,W1,2001-07-15 04:00,266.95,272.35,266.25,270.30,2001,3,7,28
GOLD,W1,2001-07-22 04:00,270.15,270.80,265.00,267.80,2001,3,7,29
GOLD,W1,2001-07-29 04:00,267.60,269.55,264.00,268.80,2001,3,7,30
GOLD,W1,2001-08-05 04:00,268.50,277.55,265.75,274.80,2001,3,8,31
GOLD,W1,2001-08-12 04:00,273.50,281.70,273.00,279.50,2001,3,8,32
GOLD,W1,2001-08-19 04:00,279.00,280.05,271.55,273.10,2001,3,8,33
GOLD,W1,2001-08-26 04:00,272.25,276.75,270.15,274.70,2001,3,8,34
GOLD,W1,2001-09-02 04:00,274.45,275.25,270.70,273.40,2001,3,9,35
GOLD,W1,2001-09-09 04:00,273.00,296.00,270.45,285.80,2001,3,9,36
GOLD,W1,2001-09-16 04:00,288.00,296.10,283.75,291.70,2001,3,9,37
GOLD,W1,2001-09-23 04:00,290.50,294.65,286.50,293.45,2001,3,9,38
GOLD,W1,2001-09-30 04:00,292.00,293.70,288.10,291.20,2001,3,9,39
GOLD,W1,2001-10-07 04:00,290.75,294.62,279.70,284.70,2001,4,10,40
GOLD,W1,2001-10-14 04:00,284.20,286.25,277.20,279.90,2001,4,10,41
GOLD,W1,2001-10-21 04:00,279.40,280.00,273.95,277.60,2001,4,10,42
GOLD,W1,2001-10-28 04:00,277.10,282.50,276.65,280.20,2001,4,10,43
GOLD,W1,2001-11-04 04:00,279.70,281.60,276.00,277.95,2001,4,11,44
GOLD,W1,2001-11-11 04:00,277.20,282.50,273.45,275.10,2001,4,11,45
GOLD,W1,2001-11-18 04:00,274.60,276.25,271.70,273.15,2001,4,11,46
GOLD,W1,2001-11-25 04:00,272.80,276.55,272.00,274.65,2001,4,11,47
GOLD,W1,2001-12-02 04:00,274.15,278.70,273.10,274.80,2001,4,12,48
GOLD,W1,2001-12-09 04:00,274.30,279.95,270.95,278.70,2001,4,12,49
GOLD,W1,2001-12-16 04:00,277.35,281.75,274.00,278.40,2001,4,12,50
GOLD,W1,2001-12-23 04:00,277.70,281.25,275.55,276.80,2001,4,12,51
GOLD,W1,2001-12-30 04:00,275.90,280.75,275.65,279.20,2001,4,12,52
GOLD,W1,2002-01-06 04:00,278.40,290.00,276.90,287.80,2002,1,1,1
GOLD,W1,2002-01-13 04:00,286.60,290.00,282.45,283.80,2002,1,1,2
GOLD,W1,2002-01-20 04:00,283.30,284.55,277.35,279.20,2002,1,1,3
GOLD,W1,2002-01-27 04:00,279.20,287.70,276.60,286.50,2002,1,1,4
GOLD,W1,2002-02-03 04:00,285.25,309.30,284.90,304.00,2002,1,2,5
GOLD,W1,2002-02-10 04:00,303.50,305.80,295.10,298.10,2002,1,2,6
GOLD,W1,2002-02-17 04:00,298.50,299.88,289.55,293.00,2002,1,2,7
GOLD,W1,2002-02-24 04:00,292.75,300.12,290.40,298.40,2002,1,2,8
GOLD,W1,2002-03-03 04:00,297.60,300.62,287.40,290.00,2002,1,3,9
GOLD,W1,2002-03-10 04:00,289.35,295.40,288.85,290.30,2002,1,3,10
GOLD,W1,2002-03-17 04:00,289.80,298.38,289.50,298.00,2002,1,3,11
GOLD,W1,2002-03-24 04:00,297.40,305.27,295.35,302.75,2002,1,3,12
GOLD,W1,2002-03-31 04:00,301.75,307.45,297.75,300.30,2002,1,3,13
GOLD,W1,2002-04-07 04:00,299.85,303.75,296.75,301.90,2002,2,4,14
GOLD,W1,2002-04-14 04:00,301.90,306.60,297.15,302.60,2002,2,4,15
GOLD,W1,2002-04-21 04:00,302.00,312.50,301.35,311.60,2002,2,4,16
GOLD,W1,2002-04-28 04:00,310.75,313.85,306.35,312.20,2002,2,4,17
GOLD,W1,2002-05-05 04:00,311.50,314.40,307.55,311.30,2002,2,5,18
GOLD,W1,2002-05-12 04:00,310.60,312.65,305.95,311.30,2002,2,5,19
GOLD,W1,2002-05-19 04:00,310.60,324.48,309.75,320.80,2002,2,5,20
GOLD,W1,2002-05-26 04:00,320.30,330.25,319.50,326.80,2002,2,5,21
GOLD,W1,2002-06-02 04:00,326.30,332.15,319.75,324.20,2002,2,6,22
GOLD,W1,2002-06-09 04:00,324.60,325.60,315.45,319.60,2002,2,6,23
GOLD,W1,2002-06-16 04:00,319.10,325.60,316.25,324.90,2002,2,6,24
GOLD,W1,2002-06-23 04:00,324.40,327.30,309.90,314.70,2002,2,6,25
GOLD,W1,2002-06-30 04:00,313.70,316.40,310.00,311.80,2002,2,6,26
GOLD,W1,2002-07-07 04:00,311.20,318.50,309.90,316.30,2002,3,7,27
GOLD,W1,2002-07-14 04:00,315.70,326.40,315.50,324.20,2002,3,7,28
GOLD,W1,2002-07-21 04:00,323.70,326.23,300.50,304.00,2002,3,7,29
GOLD,W1,2002-07-28 04:00,304.20,308.50,298.45,307.40,2002,3,7,30
GOLD,W1,2002-08-04 04:00,307.10,316.05,303.70,314.80,2002,3,8,31
GOLD,W1,2002-08-11 04:00,314.30,318.50,310.80,314.20,2002,3,8,32
GOLD,W1,2002-08-18 04:00,313.70,316.40,303.95,307.30,2002,3,8,33
GOLD,W1,2002-08-25 04:00,306.70,315.30,306.20,313.00,2002,3,8,34
GOLD,W1,2002-09-01 04:00,312.50,322.10,310.90,320.50,2002,3,9,35
GOLD,W1,2002-09-08 04:00,319.90,324.60,314.40,317.10,2002,3,9,36
