Date,Year,Quarter,Month,Week,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,DailyTotal,AllTimeTotal
2024-01-11,2024,1,1,2,111.70,227.00,237.90,65.30,17.40,50.10,29.40,10.60,1.00,-95.10,0.00,655.30,655.30
2024-01-12,2024,1,1,2,386.00,195.30,17.40,39.80,28.40,0.00,20.20,0.00,0.00,-484.10,0.00,203.00,858.30
2024-01-16,2024,1,1,3,212.70,102.00,50.20,122.30,31.90,0.00,15.30,7.30,0.00,-594.40,0.00,-52.70,805.60
2024-01-17,2024,1,1,3,371.40,358.10,68.20,50.30,57.60,1.20,1.20,4.80,1.60,-460.60,0.00,453.80,1259.40
2024-01-18,2024,1,1,3,145.50,177.90,20.10,41.80,58.80,0.00,9.30,2.30,0.00,-582.30,0.00,-126.60,1132.80
2024-01-19,2024,1,1,3,201.50,222.30,56.70,62.60,63.40,0.00,10.40,14.20,2.90,-590.40,0.00,43.60,1176.40
2024-01-22,2024,1,1,4,260.60,158.70,41.60,65.00,5.60,4.70,9.70,6.80,0.40,-640.50,0.00,-87.40,1089.00
2024-01-23,2024,1,1,4,160.10,157.70,26.30,61.80,0.00,1.10,0.00,2.20,0.00,-515.30,0.00,-106.10,982.90
2024-01-24,2024,1,1,4,66.20,125.70,19.10,24.90,19.90,1.20,9.10,4.50,0.40,-429.30,0.00,-158.30,824.60
2024-01-25,2024,1,1,4,170.70,101.00,20.00,16.10,0.00,0.00,6.50,0.00,0.00,-394.10,0.00,-79.80,744.80
2024-01-26,2024,1,1,4,87.10,100.10,30.90,46.40,0.00,1.20,1.80,2.40,0.00,-255.10,0.00,14.80,759.60
2024-01-29,2024,1,1,5,198.40,208.20,20.00,17.20,3.00,0.00,0.00,0.00,0.00,-191.70,0.00,255.10,1014.70
2024-01-30,2024,1,1,5,299.20,119.20,21.90,16.80,6.30,2.50,0.00,0.00,2.10,-220.70,0.00,247.30,1262.00
2024-01-31,2024,1,1,5,116.20,232.00,17.80,14.80,1.50,0.00,0.60,2.40,0.00,-187.70,0.00,197.60,1459.60
2024-02-01,2024,1,2,5,163.90,35.80,4.20,15.90,0.00,0.00,0.00,0.00,0.70,-182.00,0.00,38.50,1498.10
