Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
AUDUSD,H4,2007-06-06 21:00,0.84090,0.84760,0.84000,0.84050,2007,2,6,23
AUDUSD,H4,2007-06-07 21:00,0.84040,0.84470,0.83650,0.84470,2007,2,6,23
AUDUSD,H4,2007-06-09 21:00,0.84410,0.84440,0.84400,0.84410,2007,2,6,23
AUDUSD,H4,2007-06-10 21:00,0.84420,0.84450,0.83920,0.84350,2007,2,6,23
AUDUSD,H4,2007-06-11 21:00,0.84380,0.84450,0.84000,0.84000,2007,2,6,24
AUDUSD,H4,2007-06-12 21:00,0.83980,0.84250,0.83590,0.84040,2007,2,6,24
AUDUSD,H4,2007-06-13 21:00,0.84060,0.84090,0.83320,0.83560,2007,2,6,24
AUDUSD,H4,2007-06-14 21:00,0.83580,0.84200,0.83510,0.84200,2007,2,6,24
AUDUSD,H4,2007-06-16 21:00,0.84170,0.84240,0.83960,0.83980,2007,2,6,24
AUDUSD,H4,2007-06-17 21:00,0.83970,0.84520,0.83960,0.84250,2007,2,6,24
AUDUSD,H4,2007-06-18 21:00,0.84240,0.84690,0.84200,0.84650,2007,2,6,25
AUDUSD,H4,2007-06-19 21:00,0.84660,0.84740,0.84330,0.84420,2007,2,6,25
AUDUSD,H4,2007-06-20 21:00,0.84400,0.84740,0.84280,0.84730,2007,2,6,25
AUDUSD,H4,2007-06-21 21:00,0.84720,0.84920,0.84560,0.84710,2007,2,6,25
AUDUSD,H4,2007-06-23 21:00,0.84730,0.84810,0.84700,0.84760,2007,2,6,25
AUDUSD,H4,2007-06-24 21:00,0.84750,0.84980,0.84620,0.84710,2007,2,6,25
AUDUSD,H4,2007-06-25 21:00,0.84730,0.85100,0.84510,0.84550,2007,2,6,26
AUDUSD,H4,2007-06-26 21:00,0.84560,0.84590,0.83550,0.83850,2007,2,6,26
AUDUSD,H4,2007-06-27 21:00,0.83840,0.84690,0.83770,0.84610,2007,2,6,26
AUDUSD,H4,2007-06-28 21:00,0.84620,0.85200,0.84610,0.84910,2007,2,6,26
AUDUSD,H4,2007-06-30 21:00,0.84820,0.84940,0.84750,0.84880,2007,2,6,26
AUDUSD,H4,2007-07-01 21:00,0.84920,0.85970,0.84920,0.85840,2007,3,7,26
AUDUSD,H4,2007-07-02 21:00,0.85850,0.85950,0.85380,0.85430,2007,3,7,27
AUDUSD,H4,2007-07-03 21:00,0.85440,0.85850,0.85420,0.85750,2007,3,7,27
AUDUSD,H4,2007-07-04 21:00,0.85730,0.86080,0.85540,0.85600,2007,3,7,27
AUDUSD,H4,2007-07-05 21:00,0.85590,0.85880,0.85480,0.85790,2007,3,7,27
AUDUSD,H4,2007-07-07 21:00,0.85800,0.85800,0.85750,0.85780,2007,3,7,27
AUDUSD,H4,2007-07-08 21:00,0.85790,0.86130,0.85670,0.85980,2007,3,7,27
AUDUSD,H4,2007-07-09 21:00,0.85990,0.86360,0.85640,0.86190,2007,3,7,28
AUDUSD,H4,2007-07-10 21:00,0.86200,0.86390,0.85730,0.86250,2007,3,7,28
AUDUSD,H4,2007-07-11 21:00,0.86260,0.86620,0.86020,0.86610,2007,3,7,28
