Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
AUDUSD,MN,2007-06-01 04:00,0.84090,0.85200,0.83320,0.84910,2007,2,6,22
AUDUSD,MN,2007-07-01 04:00,0.84820,0.88700,0.84580,0.85150,2007,3,7,26
AUDUSD,MN,2007-08-01 04:00,0.85160,0.86610,0.76730,0.81840,2007,3,8,31
AUDUSD,MN,2007-09-01 04:00,0.81580,0.88860,0.81570,0.88820,2007,3,9,35
AUDUSD,MN,2007-10-01 04:00,0.88810,0.93440,0.87500,0.93160,2007,4,10,40
AUDUSD,MN,2007-11-01 04:00,0.93150,0.94000,0.86510,0.88420,2007,4,11,44
AUDUSD,MN,2007-12-01 04:00,0.88440,0.89060,0.85520,0.87650,2007,4,12,48
AUDUSD,MN,2008-01-01 04:00,0.87600,0.90180,0.85108,0.89561,2008,1,1,1
AUDUSD,MN,2008-02-01 04:00,0.89550,0.94960,0.88730,0.93070,2008,1,2,5
AUDUSD,MN,2008-03-01 04:00,0.93142,0.94702,0.89518,0.91297,2008,1,3,9
AUDUSD,MN,2008-04-01 04:00,0.91350,0.95405,0.90297,0.94230,2008,2,4,14
AUDUSD,MN,2008-05-01 04:00,0.94220,0.96510,0.92720,0.95580,2008,2,5,18
AUDUSD,MN,2008-06-01 04:00,0.95430,0.96650,0.93250,0.95830,2008,2,6,22
AUDUSD,MN,2008-07-01 04:00,0.95820,0.98480,0.93910,0.93950,2008,3,7,27
AUDUSD,MN,2008-08-01 04:00,0.93940,0.93980,0.84910,0.85730,2008,3,8,31
AUDUSD,MN,2008-09-01 04:00,0.85740,0.85780,0.77990,0.79480,2008,3,9,36
AUDUSD,MN,2008-10-01 04:00,0.79470,0.80170,0.60080,0.66750,2008,4,10,40
AUDUSD,MN,2008-11-01 04:00,0.66760,0.70130,0.60740,0.65480,2008,4,11,44
AUDUSD,MN,2008-12-01 04:00,0.65300,0.71370,0.62910,0.70910,2008,4,12,49
AUDUSD,MN,2009-01-01 04:00,0.69210,0.72660,0.63450,0.63540,2009,1,1,1
AUDUSD,MN,2009-02-01 04:00,0.63530,0.68480,0.62470,0.63860,2009,1,2,5
AUDUSD,MN,2009-03-01 04:00,0.63620,0.70930,0.62850,0.69510,2009,1,3,9
AUDUSD,MN,2009-04-01 04:00,0.69500,0.73820,0.68560,0.72540,2009,2,4,14
AUDUSD,MN,2009-05-01 04:00,0.72520,0.80140,0.72400,0.80090,2009,2,5,18
AUDUSD,MN,2009-06-01 04:00,0.80360,0.82620,0.77880,0.80630,2009,2,6,23
AUDUSD,MN,2009-07-01 04:00,0.80620,0.83650,0.77020,0.83570,2009,3,7,27
AUDUSD,MN,2009-08-01 04:00,0.83550,0.84760,0.81540,0.84370,2009,3,8,31
AUDUSD,MN,2009-09-01 04:00,0.84380,0.88450,0.82390,0.88360,2009,3,9,36
AUDUSD,MN,2009-10-01 04:00,0.88350,0.93260,0.85670,0.89970,2009,4,10,40
AUDUSD,MN,2009-11-01 04:00,0.89660,0.94040,0.89050,0.91580,2009,4,11,44
AUDUSD,MN,2009-12-01 04:00,0.91590,0.93210,0.87490,0.89621,2009,4,12,49
AUDUSD,MN,2010-01-01 04:00,0.89840,0.93279,0.87901,0.87976,2010,1,1,1
AUDUSD,MN,2010-02-01 04:00,0.87979,0.90694,0.85764,0.89595,2010,1,2,5
AUDUSD,MN,2010-03-01 04:00,0.89594,0.92503,0.89336,0.91696,2010,1,3,9
AUDUSD,MN,2010-04-01 04:00,0.91695,0.93870,0.91339,0.92411,2010,2,4,13
AUDUSD,MN,2010-05-01 04:00,0.92343,0.92734,0.80645,0.84570,2010,2,5,17
AUDUSD,MN,2010-06-01 04:00,0.84563,0.88575,0.80806,0.84059,2010,2,6,22
AUDUSD,MN,2010-07-01 04:00,0.84043,0.90671,0.83141,0.90424,2010,3,7,26
AUDUSD,MN,2010-08-01 04:00,0.90537,0.92199,0.87694,0.89039,2010,3,8,30
AUDUSD,MN,2010-09-01 04:00,0.89040,0.97317,0.88992,0.96685,2010,3,9,35
