Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
CADJPY,D1,2007-02-12 04:00,104.000,104.090,103.500,103.590,2007,1,2,7
CADJPY,D1,2007-02-13 04:00,103.610,103.900,103.180,103.840,2007,1,2,7
CADJPY,D1,2007-02-14 04:00,103.870,103.960,103.420,103.600,2007,1,2,7
CADJPY,D1,2007-02-15 04:00,103.570,103.630,102.450,102.490,2007,1,2,7
CADJPY,D1,2007-02-16 04:00,102.510,102.680,102.310,102.630,2007,1,2,7
CADJPY,D1,2007-02-19 04:00,102.440,102.870,102.440,102.760,2007,1,2,8
CADJPY,D1,2007-02-20 04:00,102.750,103.260,102.380,102.540,2007,1,2,8
CADJPY,D1,2007-02-21 04:00,102.530,104.270,102.290,104.140,2007,1,2,8
CADJPY,D1,2007-02-22 04:00,104.130,104.750,104.090,104.570,2007,1,2,8
CADJPY,D1,2007-02-23 04:00,104.610,104.790,104.280,104.340,2007,1,2,8
CADJPY,D1,2007-02-26 04:00,104.390,104.430,103.780,104.020,2007,1,2,9
CADJPY,D1,2007-02-27 04:00,104.010,104.050,100.720,101.280,2007,1,2,9
CADJPY,D1,2007-02-28 04:00,101.260,101.660,100.660,101.280,2007,1,2,9
CADJPY,D1,2007-03-01 04:00,101.290,101.560,99.530,100.310,2007,1,3,9
CADJPY,D1,2007-03-02 04:00,100.290,100.530,99.000,99.180,2007,1,3,9
CADJPY,D1,2007-03-05 04:00,99.120,99.130,97.500,97.510,2007,1,3,10
CADJPY,D1,2007-03-06 04:00,97.520,99.260,97.490,99.250,2007,1,3,10
CADJPY,D1,2007-03-07 04:00,99.240,99.430,98.210,98.310,2007,1,3,10
CADJPY,D1,2007-03-08 04:00,98.320,99.510,98.060,99.330,2007,1,3,10
CADJPY,D1,2007-03-09 04:00,99.320,101.090,99.230,100.870,2007,1,3,10
CADJPY,D1,2007-03-12 04:00,100.940,101.090,100.170,100.280,2007,1,3,11
CADJPY,D1,2007-03-14 04:00,98.860,99.890,98.550,99.780,2007,1,3,11
CADJPY,D1,2007-03-15 04:00,99.760,100.130,99.540,99.680,2007,1,3,11
CADJPY,D1,2007-03-16 04:00,99.700,99.810,99.140,99.220,2007,1,3,11
CADJPY,D1,2007-03-19 04:00,98.810,100.180,98.780,99.870,2007,1,3,12
CADJPY,D1,2007-03-20 04:00,99.890,101.090,99.850,100.940,2007,1,3,12
CADJPY,D1,2007-03-21 04:00,100.910,101.850,100.850,101.550,2007,1,3,12
CADJPY,D1,2007-03-22 04:00,101.540,102.170,101.380,102.010,2007,1,3,12
CADJPY,D1,2007-03-23 04:00,102.020,102.190,101.380,101.710,2007,1,3,12
CADJPY,D1,2007-03-26 04:00,101.560,101.920,101.270,101.700,2007,1,3,13
CADJPY,D1,2007-03-27 04:00,101.710,102.380,101.580,101.810,2007,1,3,13
CADJPY,D1,2007-03-28 04:00,101.820,102.030,100.470,100.820,2007,1,3,13
CADJPY,D1,2007-03-29 04:00,100.800,101.980,100.600,101.880,2007,1,3,13
CADJPY,D1,2007-03-30 04:00,101.870,102.740,101.440,102.070,2007,1,3,13
CADJPY,D1,2007-04-02 04:00,101.960,102.450,101.700,101.870,2007,2,4,14
CADJPY,D1,2007-04-03 04:00,101.850,102.720,101.730,102.550,2007,2,4,14
CADJPY,D1,2007-04-04 04:00,102.540,102.990,102.280,102.340,2007,2,4,14
CADJPY,D1,2007-04-05 04:00,102.330,103.270,102.180,103.070,2007,2,4,14
CADJPY,D1,2007-04-06 04:00,103.080,103.770,103.030,103.560,2007,2,4,14
CADJPY,D1,2007-04-09 04:00,103.630,103.710,103.420,103.480,2007,2,4,15
CADJPY,D1,2007-04-10 04:00,103.490,103.950,103.180,103.720,2007,2,4,15
CADJPY,D1,2007-04-11 04:00,103.710,104.880,103.610,104.870,2007,2,4,15
CADJPY,D1,2007-04-12 04:00,104.830,105.040,104.480,104.900,2007,2,4,15
CADJPY,D1,2007-04-13 04:00,104.920,105.070,104.170,104.780,2007,2,4,15
CADJPY,D1,2007-04-16 04:00,104.980,106.000,104.730,105.680,2007,2,4,16
CADJPY,D1,2007-04-17 04:00,105.670,105.820,105.050,105.090,2007,2,4,16
CADJPY,D1,2007-04-18 04:00,105.080,105.320,104.440,105.030,2007,2,4,16
CADJPY,D1,2007-04-19 04:00,105.040,105.150,104.010,104.830,2007,2,4,16
CADJPY,D1,2007-04-20 04:00,104.840,105.940,104.680,105.580,2007,2,4,16
CADJPY,D1,2007-04-23 04:00,105.740,105.910,105.240,105.670,2007,2,4,17
CADJPY,D1,2007-04-24 04:00,105.680,106.210,105.110,105.660,2007,2,4,17
CADJPY,D1,2007-04-25 04:00,105.650,106.610,105.430,106.350,2007,2,4,17
CADJPY,D1,2007-04-26 04:00,106.360,106.830,106.250,106.490,2007,2,4,17
CADJPY,D1,2007-04-27 04:00,106.480,107.310,106.340,107.130,2007,2,4,17
CADJPY,D1,2007-04-30 04:00,106.910,108.140,106.660,107.590,2007,2,4,18
CADJPY,D1,2007-05-01 04:00,107.580,108.220,107.500,107.740,2007,2,5,18
CADJPY,D1,2007-05-02 04:00,107.750,108.570,107.420,108.500,2007,2,5,18
CADJPY,D1,2007-05-03 04:00,108.480,108.830,108.230,108.680,2007,2,5,18
CADJPY,D1,2007-05-04 04:00,108.690,109.030,108.430,108.470,2007,2,5,18
CADJPY,D1,2007-05-07 04:00,108.510,109.020,108.270,108.940,2007,2,5,19
CADJPY,D1,2007-05-08 04:00,108.950,108.950,108.170,108.430,2007,2,5,19
CADJPY,D1,2007-05-09 04:00,108.420,108.690,108.050,108.500,2007,2,5,19
CADJPY,D1,2007-05-10 04:00,108.510,108.920,107.680,107.690,2007,2,5,19
CADJPY,D1,2007-05-11 04:00,107.720,108.240,107.130,108.200,2007,2,5,19
CADJPY,D1,2007-05-14 04:00,108.190,108.860,107.990,108.840,2007,2,5,20
CADJPY,D1,2007-05-15 04:00,108.860,109.790,108.470,109.440,2007,2,5,20
