Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
CADJPY,H4,2017-12-04 20:00,89.124,89.154,88.631,88.823,2017,4,12,49
CADJPY,H4,2017-12-05 00:00,88.824,88.831,88.555,88.659,2017,4,12,49
CADJPY,H4,2017-12-05 04:00,88.647,89.212,88.601,88.790,2017,4,12,49
CADJPY,H4,2017-12-05 08:00,88.790,88.928,88.763,88.891,2017,4,12,49
CADJPY,H4,2017-12-05 12:00,88.891,89.006,88.791,88.855,2017,4,12,49
CADJPY,H4,2017-12-05 16:00,88.856,89.212,88.813,89.006,2017,4,12,49
CADJPY,H4,2017-12-05 20:00,89.005,89.083,88.722,88.731,2017,4,12,49
CADJPY,H4,2017-12-06 00:00,88.729,88.854,88.601,88.683,2017,4,12,49
CADJPY,H4,2017-12-06 04:00,88.683,88.738,88.460,88.520,2017,4,12,49
CADJPY,H4,2017-12-06 08:00,88.520,88.524,88.282,88.306,2017,4,12,49
CADJPY,H4,2017-12-06 12:00,88.306,88.571,88.182,88.466,2017,4,12,49
CADJPY,H4,2017-12-06 16:00,88.468,88.636,88.418,88.484,2017,4,12,49
CADJPY,H4,2017-12-06 20:00,88.484,88.710,87.658,87.740,2017,4,12,49
CADJPY,H4,2017-12-07 00:00,87.743,87.814,87.654,87.781,2017,4,12,49
CADJPY,H4,2017-12-07 04:00,87.749,87.879,87.700,87.836,2017,4,12,49
CADJPY,H4,2017-12-07 08:00,87.840,87.855,87.752,87.836,2017,4,12,49
CADJPY,H4,2017-12-07 12:00,87.835,87.865,87.702,87.811,2017,4,12,49
CADJPY,H4,2017-12-07 16:00,87.810,87.929,87.678,87.690,2017,4,12,49
CADJPY,H4,2017-12-07 20:00,87.689,87.943,87.487,87.935,2017,4,12,49
CADJPY,H4,2017-12-08 00:00,87.933,88.057,87.848,87.953,2017,4,12,49
CADJPY,H4,2017-12-08 04:00,87.953,88.161,87.929,88.156,2017,4,12,49
CADJPY,H4,2017-12-08 08:00,88.155,88.201,88.115,88.195,2017,4,12,49
CADJPY,H4,2017-12-08 12:00,88.195,88.324,88.171,88.234,2017,4,12,49
CADJPY,H4,2017-12-08 16:00,88.235,88.497,88.215,88.370,2017,4,12,49
CADJPY,H4,2017-12-08 20:00,88.368,88.371,88.049,88.184,2017,4,12,49
CADJPY,H4,2017-12-09 00:00,88.183,88.293,88.153,88.271,2017,4,12,49
CADJPY,H4,2017-12-11 04:00,88.235,88.433,88.198,88.365,2017,4,12,50
CADJPY,H4,2017-12-11 08:00,88.366,88.427,88.336,88.409,2017,4,12,50
CADJPY,H4,2017-12-11 12:00,88.409,88.437,88.201,88.246,2017,4,12,50
CADJPY,H4,2017-12-11 16:00,88.245,88.296,88.034,88.140,2017,4,12,50
CADJPY,H4,2017-12-11 20:00,88.143,88.271,88.117,88.229,2017,4,12,50
CADJPY,H4,2017-12-12 00:00,88.229,88.349,88.205,88.296,2017,4,12,50
CADJPY,H4,2017-12-12 04:00,88.296,88.337,88.222,88.244,2017,4,12,50
CADJPY,H4,2017-12-12 08:00,88.243,88.332,88.223,88.309,2017,4,12,50
CADJPY,H4,2017-12-12 12:00,88.309,88.432,88.258,88.420,2017,4,12,50
CADJPY,H4,2017-12-12 16:00,88.421,88.512,88.314,88.334,2017,4,12,50
CADJPY,H4,2017-12-12 20:00,88.334,88.386,87.970,88.194,2017,4,12,50
CADJPY,H4,2017-12-13 00:00,88.196,88.249,88.090,88.215,2017,4,12,50
CADJPY,H4,2017-12-13 04:00,88.215,88.237,88.135,88.190,2017,4,12,50
CADJPY,H4,2017-12-13 08:00,88.189,88.248,88.018,88.136,2017,4,12,50
CADJPY,H4,2017-12-13 12:00,88.136,88.220,88.029,88.060,2017,4,12,50
CADJPY,H4,2017-12-13 16:00,88.059,88.158,87.950,88.007,2017,4,12,50
CADJPY,H4,2017-12-13 20:00,88.008,88.051,87.841,87.916,2017,4,12,50
CADJPY,H4,2017-12-14 00:00,87.915,87.973,87.644,87.741,2017,4,12,50
CADJPY,H4,2017-12-14 04:00,87.638,88.032,87.638,87.939,2017,4,12,50
CADJPY,H4,2017-12-14 08:00,87.940,87.986,87.818,87.822,2017,4,12,50
CADJPY,H4,2017-12-14 12:00,87.822,87.908,87.642,87.829,2017,4,12,50
CADJPY,H4,2017-12-14 16:00,87.828,87.907,87.721,87.802,2017,4,12,50
CADJPY,H4,2017-12-14 20:00,87.804,87.944,87.510,87.883,2017,4,12,50
CADJPY,H4,2017-12-15 00:00,87.882,88.181,87.616,87.802,2017,4,12,50
CADJPY,H4,2017-12-15 04:00,87.802,88.099,87.319,87.817,2017,4,12,50
CADJPY,H4,2017-12-15 08:00,87.815,87.911,87.729,87.830,2017,4,12,50
CADJPY,H4,2017-12-15 12:00,87.830,88.048,87.771,87.936,2017,4,12,50
CADJPY,H4,2017-12-15 16:00,87.936,87.977,87.757,87.765,2017,4,12,50
