Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
CADJPY,MN,2007-02-01 04:00,104.000,104.790,100.660,101.280,2007,1,2,5
CADJPY,MN,2007-03-01 04:00,101.290,102.740,97.490,102.070,2007,1,3,9
CADJPY,MN,2007-04-01 04:00,101.960,108.140,101.700,107.590,2007,2,4,13
CADJPY,MN,2007-05-01 04:00,107.580,114.040,107.130,113.730,2007,2,5,18
CADJPY,MN,2007-06-01 04:00,113.750,117.860,113.400,115.590,2007,2,6,22
CADJPY,MN,2007-07-01 04:00,115.710,118.200,110.500,110.950,2007,3,7,26
CADJPY,MN,2007-08-01 04:00,110.960,114.320,103.380,109.640,2007,3,8,31
CADJPY,MN,2007-09-01 04:00,109.570,116.060,106.520,115.500,2007,3,9,35
CADJPY,MN,2007-10-01 04:00,115.550,122.470,115.380,122.100,2007,4,10,40
CADJPY,MN,2007-11-01 04:00,122.110,125.520,108.090,111.270,2007,4,11,44
CADJPY,MN,2007-12-01 04:00,111.140,116.830,107.850,112.970,2007,4,12,48
CADJPY,MN,2008-01-01 04:00,112.510,113.250,101.820,106.110,2008,1,1,1
CADJPY,MN,2008-02-01 04:00,106.120,109.630,104.700,104.980,2008,1,2,5
CADJPY,MN,2008-03-01 04:00,105.160,105.700,95.680,97.390,2008,1,3,9
CADJPY,MN,2008-04-01 04:00,97.360,104.080,97.060,103.240,2008,2,4,14
CADJPY,MN,2008-05-01 04:00,103.260,107.090,101.570,106.190,2008,2,5,18
CADJPY,MN,2008-06-01 04:00,105.610,107.060,102.490,103.890,2008,2,6,22
CADJPY,MN,2008-07-01 04:00,103.910,107.130,103.120,105.220,2008,3,7,27
CADJPY,MN,2008-08-01 04:00,105.420,105.420,101.480,102.070,2008,3,8,31
CADJPY,MN,2008-09-01 04:00,101.980,103.470,96.480,99.670,2008,3,9,36
CADJPY,MN,2008-10-01 04:00,99.680,100.660,70.960,81.160,2008,4,10,40
CADJPY,MN,2008-11-01 04:00,81.560,87.480,72.110,77.010,2008,4,11,44
CADJPY,MN,2008-12-01 04:00,77.170,77.260,70.570,74.060,2008,4,12,49
CADJPY,MN,2009-01-01 04:00,74.580,80.400,68.380,73.130,2009,1,1,1
CADJPY,MN,2009-02-01 04:00,73.230,79.366,71.460,76.426,2009,1,2,5
CADJPY,MN,2009-03-01 04:00,76.410,80.648,74.025,78.252,2009,1,3,9
CADJPY,MN,2009-04-01 04:00,78.257,83.047,77.420,82.490,2009,2,4,14
CADJPY,MN,2009-05-01 04:00,82.495,87.627,80.106,87.321,2009,2,5,18
CADJPY,MN,2009-06-01 04:00,87.352,89.386,82.064,82.820,2009,2,6,23
CADJPY,MN,2009-07-01 04:00,82.817,88.907,78.529,87.819,2009,3,7,27
