Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
EURJPY,H4,2017-12-04 12:00,133.872,134.040,133.707,133.823,2017,4,12,49
EURJPY,H4,2017-12-04 16:00,133.823,133.959,133.708,133.801,2017,4,12,49
EURJPY,H4,2017-12-04 20:00,133.801,133.851,133.481,133.633,2017,4,12,49
EURJPY,H4,2017-12-05 00:00,133.632,133.660,133.255,133.334,2017,4,12,49
EURJPY,H4,2017-12-05 04:00,133.349,133.734,132.998,133.514,2017,4,12,49
EURJPY,H4,2017-12-05 08:00,133.514,133.699,133.484,133.596,2017,4,12,49
EURJPY,H4,2017-12-05 12:00,133.596,133.735,133.217,133.353,2017,4,12,49
EURJPY,H4,2017-12-05 16:00,133.352,133.529,133.230,133.249,2017,4,12,49
EURJPY,H4,2017-12-05 20:00,133.248,133.491,133.038,133.056,2017,4,12,49
EURJPY,H4,2017-12-06 00:00,133.056,133.197,132.998,133.111,2017,4,12,49
EURJPY,H4,2017-12-06 04:00,133.044,133.201,132.248,132.988,2017,4,12,49
EURJPY,H4,2017-12-06 08:00,132.987,132.993,132.681,132.736,2017,4,12,49
EURJPY,H4,2017-12-06 12:00,132.736,132.843,132.407,132.593,2017,4,12,49
EURJPY,H4,2017-12-06 16:00,132.592,132.677,132.391,132.465,2017,4,12,49
EURJPY,H4,2017-12-06 20:00,132.463,132.546,132.248,132.351,2017,4,12,49
EURJPY,H4,2017-12-07 00:00,132.352,132.457,132.279,132.424,2017,4,12,49
EURJPY,H4,2017-12-07 04:00,132.424,132.688,132.330,132.665,2017,4,12,49
EURJPY,H4,2017-12-07 08:00,132.668,132.730,132.590,132.662,2017,4,12,49
EURJPY,H4,2017-12-07 12:00,132.662,132.894,132.642,132.799,2017,4,12,49
EURJPY,H4,2017-12-07 16:00,132.799,132.948,132.699,132.829,2017,4,12,49
EURJPY,H4,2017-12-07 20:00,132.828,133.045,132.778,133.027,2017,4,12,49
EURJPY,H4,2017-12-08 00:00,133.027,133.276,132.993,133.111,2017,4,12,49
EURJPY,H4,2017-12-08 04:00,133.111,133.351,133.101,133.346,2017,4,12,49
EURJPY,H4,2017-12-08 08:00,133.345,133.397,133.278,133.390,2017,4,12,49
EURJPY,H4,2017-12-08 12:00,133.391,133.444,133.185,133.271,2017,4,12,49
EURJPY,H4,2017-12-08 16:00,133.272,133.327,133.116,133.307,2017,4,12,49
EURJPY,H4,2017-12-08 20:00,133.306,133.600,133.101,133.443,2017,4,12,49
EURJPY,H4,2017-12-09 00:00,133.443,133.594,133.437,133.574,2017,4,12,49
EURJPY,H4,2017-12-11 04:00,133.557,133.874,133.523,133.790,2017,4,12,50
EURJPY,H4,2017-12-11 08:00,133.787,133.839,133.702,133.751,2017,4,12,50
EURJPY,H4,2017-12-11 12:00,133.757,133.826,133.548,133.730,2017,4,12,50
EURJPY,H4,2017-12-11 16:00,133.729,133.825,133.524,133.560,2017,4,12,50
EURJPY,H4,2017-12-11 20:00,133.562,133.842,133.535,133.750,2017,4,12,50
EURJPY,H4,2017-12-12 00:00,133.751,133.819,133.544,133.644,2017,4,12,50
EURJPY,H4,2017-12-12 04:00,133.644,133.733,133.511,133.515,2017,4,12,50
EURJPY,H4,2017-12-12 08:00,133.515,133.608,133.463,133.560,2017,4,12,50
EURJPY,H4,2017-12-12 12:00,133.558,133.749,133.518,133.670,2017,4,12,50
EURJPY,H4,2017-12-12 16:00,133.672,133.704,133.347,133.350,2017,4,12,50
EURJPY,H4,2017-12-12 20:00,133.351,133.466,133.005,133.198,2017,4,12,50
EURJPY,H4,2017-12-13 00:00,133.200,133.374,133.134,133.299,2017,4,12,50
EURJPY,H4,2017-12-13 04:00,133.300,133.349,132.830,133.251,2017,4,12,50
EURJPY,H4,2017-12-13 08:00,133.252,133.317,133.035,133.195,2017,4,12,50
EURJPY,H4,2017-12-13 12:00,133.194,133.325,133.030,133.224,2017,4,12,50
EURJPY,H4,2017-12-13 16:00,133.224,133.277,132.840,132.921,2017,4,12,50
EURJPY,H4,2017-12-13 20:00,132.922,133.166,132.869,133.061,2017,4,12,50
EURJPY,H4,2017-12-14 00:00,133.060,133.162,132.827,133.057,2017,4,12,50
EURJPY,H4,2017-12-14 04:00,133.067,133.498,133.046,133.342,2017,4,12,50
EURJPY,H4,2017-12-14 08:00,133.342,133.383,133.123,133.123,2017,4,12,50
EURJPY,H4,2017-12-14 12:00,133.123,133.465,133.120,133.280,2017,4,12,50
EURJPY,H4,2017-12-14 16:00,133.281,133.746,133.200,133.283,2017,4,12,50
EURJPY,H4,2017-12-14 20:00,133.281,133.316,132.409,132.437,2017,4,12,50
EURJPY,H4,2017-12-15 00:00,132.436,132.449,132.223,132.346,2017,4,12,50
EURJPY,H4,2017-12-15 04:00,132.350,132.459,132.157,132.256,2017,4,12,50
EURJPY,H4,2017-12-15 08:00,132.259,132.412,132.152,132.265,2017,4,12,50
EURJPY,H4,2017-12-15 12:00,132.265,132.313,132.041,132.298,2017,4,12,50
EURJPY,H4,2017-12-15 16:00,132.298,132.521,132.271,132.408,2017,4,12,50
EURJPY,H4,2017-12-15 20:00,132.407,132.720,132.233,132.566,2017,4,12,50
EURJPY,H4,2017-12-16 00:00,132.564,132.574,132.285,132.326,2017,4,12,50
EURJPY,H4,2017-12-18 04:00,132.327,132.545,132.110,132.416,2017,4,12,51
EURJPY,H4,2017-12-18 08:00,132.414,132.556,132.392,132.487,2017,4,12,51
EURJPY,H4,2017-12-18 12:00,132.488,132.856,132.483,132.781,2017,4,12,51
EURJPY,H4,2017-12-18 16:00,132.782,132.862,132.620,132.686,2017,4,12,51
EURJPY,H4,2017-12-18 20:00,132.686,132.998,132.574,132.600,2017,4,12,51
EURJPY,H4,2017-12-19 00:00,132.599,132.715,132.537,132.572,2017,4,12,51
EURJPY,H4,2017-12-19 04:00,132.569,133.909,132.566,132.671,2017,4,12,51
EURJPY,H4,2017-12-19 08:00,132.672,132.824,132.641,132.758,2017,4,12,51
EURJPY,H4,2017-12-19 12:00,132.758,133.036,132.684,132.946,2017,4,12,51
EURJPY,H4,2017-12-19 16:00,132.946,133.424,132.881,133.388,2017,4,12,51
EURJPY,H4,2017-12-19 20:00,133.387,133.718,133.152,133.706,2017,4,12,51
EURJPY,H4,2017-12-20 00:00,133.706,133.909,133.603,133.630,2017,4,12,51
EURJPY,H4,2017-12-20 04:00,133.627,133.787,133.605,133.690,2017,4,12,51
EURJPY,H4,2017-12-20 08:00,133.689,133.889,133.648,133.798,2017,4,12,51
EURJPY,H4,2017-12-20 12:00,133.798,134.099,133.647,133.933,2017,4,12,51
EURJPY,H4,2017-12-20 16:00,133.934,134.209,133.887,134.162,2017,4,12,51
EURJPY,H4,2017-12-20 20:00,134.162,134.738,134.087,134.576,2017,4,12,51
EURJPY,H4,2017-12-21 00:00,134.575,134.765,134.573,134.599,2017,4,12,51
EURJPY,H4,2017-12-21 04:00,134.600,134.645,134.444,134.503,2017,4,12,51
EURJPY,H4,2017-12-21 08:00,134.505,134.687,134.497,134.560,2017,4,12,51
EURJPY,H4,2017-12-21 12:00,134.560,134.870,134.522,134.807,2017,4,12,51
EURJPY,H4,2017-12-21 16:00,134.806,134.862,134.449,134.452,2017,4,12,51
EURJPY,H4,2017-12-21 20:00,134.452,134.701,134.433,134.637,2017,4,12,51
EURJPY,H4,2017-12-22 00:00,134.636,134.643,134.501,134.575,2017,4,12,51
EURJPY,H4,2017-12-22 04:00,134.589,134.622,133.889,134.176,2017,4,12,51
EURJPY,H4,2017-12-22 08:00,134.174,134.280,134.150,134.251,2017,4,12,51
EURJPY,H4,2017-12-22 12:00,134.252,134.489,134.230,134.277,2017,4,12,51
EURJPY,H4,2017-12-22 16:00,134.276,134.402,134.233,134.386,2017,4,12,51
EURJPY,H4,2017-12-22 20:00,134.386,134.398,134.066,134.229,2017,4,12,51
EURJPY,H4,2017-12-23 00:00,134.231,134.391,134.188,134.331,2017,4,12,51
EURJPY,H4,2017-12-26 04:00,134.475,134.544,134.192,134.249,2017,4,12,52
EURJPY,H4,2017-12-26 12:00,134.475,134.545,134.336,134.370,2017,4,12,52
EURJPY,H4,2017-12-26 16:00,134.371,134.380,134.212,134.274,2017,4,12,52
EURJPY,H4,2017-12-26 20:00,134.275,134.499,134.257,134.343,2017,4,12,52
EURJPY,H4,2017-12-27 00:00,134.344,134.359,134.192,134.249,2017,4,12,52
EURJPY,H4,2017-12-27 04:00,134.104,134.465,134.104,134.378,2017,4,12,52
EURJPY,H4,2017-12-27 08:00,134.379,134.474,134.318,134.445,2017,4,12,52
EURJPY,H4,2017-12-27 12:00,134.445,134.558,134.286,134.529,2017,4,12,52
EURJPY,H4,2017-12-27 16:00,134.531,134.753,134.498,134.730,2017,4,12,52
EURJPY,H4,2017-12-27 20:00,134.730,134.960,134.666,134.829,2017,4,12,52
EURJPY,H4,2017-12-28 00:00,134.832,134.856,134.683,134.729,2017,4,12,52
EURJPY,H4,2017-12-28 04:00,134.631,134.856,134.568,134.810,2017,4,12,52
EURJPY,H4,2017-12-28 08:00,134.809,134.810,134.564,134.571,2017,4,12,52
EURJPY,H4,2017-12-28 12:00,134.570,134.753,134.449,134.700,2017,4,12,52
EURJPY,H4,2017-12-28 16:00,134.699,134.820,134.572,134.820,2017,4,12,52
EURJPY,H4,2017-12-28 20:00,134.821,134.951,134.710,134.903,2017,4,12,52
EURJPY,H4,2017-12-29 00:00,134.902,134.972,134.757,134.815,2017,4,12,52
EURJPY,H4,2017-12-29 04:00,134.856,134.920,134.593,134.655,2017,4,12,52
EURJPY,H4,2017-12-29 08:00,134.654,134.729,134.531,134.666,2017,4,12,52
EURJPY,H4,2017-12-29 12:00,134.664,134.944,134.645,134.915,2017,4,12,52
EURJPY,H4,2017-12-29 16:00,134.916,135.063,134.740,134.927,2017,4,12,52
EURJPY,H4,2017-12-29 20:00,134.927,135.505,134.874,135.342,2017,4,12,52
EURJPY,H4,2017-12-30 00:00,135.342,135.422,135.048,135.048,2017,4,12,52
EURJPY,H4,2018-01-02 04:00,135.510,135.622,134.924,135.367,2018,1,1,1
EURJPY,H4,2018-01-02 12:00,135.510,135.622,135.324,135.487,2018,1,1,1
EURJPY,H4,2018-01-02 16:00,135.488,135.548,135.191,135.193,2018,1,1,1
EURJPY,H4,2018-01-02 20:00,135.191,135.294,134.924,135.238,2018,1,1,1
EURJPY,H4,2018-01-03 00:00,135.239,135.448,135.219,135.367,2018,1,1,1
EURJPY,H4,2018-01-03 04:00,135.376,135.495,135.279,135.364,2018,1,1,1
EURJPY,H4,2018-01-03 08:00,135.364,135.411,135.268,135.378,2018,1,1,1
EURJPY,H4,2018-01-03 12:00,135.377,135.393,135.135,135.176,2018,1,1,1
EURJPY,H4,2018-01-03 16:00,135.175,135.190,134.793,135.031,2018,1,1,1
EURJPY,H4,2018-01-03 20:00,135.031,135.147,134.824,135.092,2018,1,1,1
EURJPY,H4,2018-01-04 00:00,135.093,135.235,135.038,135.139,2018,1,1,1
EURJPY,H4,2018-01-04 04:00,135.137,135.428,134.965,135.358,2018,1,1,1
EURJPY,H4,2018-01-04 08:00,135.358,135.432,135.336,135.403,2018,1,1,1
EURJPY,H4,2018-01-04 12:00,135.403,135.578,135.324,135.537,2018,1,1,1
EURJPY,H4,2018-01-04 16:00,135.536,136.208,135.531,136.090,2018,1,1,1
EURJPY,H4,2018-01-04 20:00,136.090,136.356,135.987,136.155,2018,1,1,1
EURJPY,H4,2018-01-05 00:00,136.156,136.228,135.995,136.033,2018,1,1,1
EURJPY,H4,2018-01-05 04:00,136.021,136.230,135.981,136.139,2018,1,1,1
EURJPY,H4,2018-01-05 08:00,136.138,136.415,136.068,136.402,2018,1,1,1
EURJPY,H4,2018-01-05 12:00,136.404,136.512,136.305,136.382,2018,1,1,1
EURJPY,H4,2018-01-05 16:00,136.368,136.625,136.269,136.439,2018,1,1,1
EURJPY,H4,2018-01-05 20:00,136.437,136.438,136.099,136.323,2018,1,1,1
EURJPY,H4,2018-01-06 00:00,136.322,136.348,135.971,135.986,2018,1,1,1
EURJPY,H4,2018-01-08 04:00,136.058,136.312,135.988,136.248,2018,1,1,2
EURJPY,H4,2018-01-08 08:00,136.249,136.262,136.032,136.087,2018,1,1,2
EURJPY,H4,2018-01-08 12:00,136.088,136.107,135.601,135.668,2018,1,1,2
EURJPY,H4,2018-01-08 16:00,135.668,135.801,135.143,135.165,2018,1,1,2
EURJPY,H4,2018-01-08 20:00,135.166,135.474,135.117,135.430,2018,1,1,2
EURJPY,H4,2018-01-09 00:00,135.428,135.431,135.145,135.307,2018,1,1,2
EURJPY,H4,2018-01-09 04:00,135.295,135.463,134.741,134.812,2018,1,1,2
EURJPY,H4,2018-01-09 08:00,134.812,134.858,134.670,134.834,2018,1,1,2
EURJPY,H4,2018-01-09 12:00,134.833,135.006,134.638,134.748,2018,1,1,2
EURJPY,H4,2018-01-09 16:00,134.747,134.759,134.223,134.258,2018,1,1,2
EURJPY,H4,2018-01-09 20:00,134.258,134.493,134.041,134.196,2018,1,1,2
EURJPY,H4,2018-01-10 00:00,134.197,134.461,134.182,134.428,2018,1,1,2
EURJPY,H4,2018-01-10 04:00,134.416,134.545,133.960,133.981,2018,1,1,2
EURJPY,H4,2018-01-10 08:00,133.984,134.157,133.976,134.007,2018,1,1,2
EURJPY,H4,2018-01-10 12:00,134.008,134.053,133.406,133.416,2018,1,1,2
EURJPY,H4,2018-01-10 16:00,133.416,133.829,133.306,133.825,2018,1,1,2
EURJPY,H4,2018-01-10 20:00,133.825,133.894,133.242,133.331,2018,1,1,2
EURJPY,H4,2018-01-11 00:00,133.329,133.366,133.066,133.098,2018,1,1,2
EURJPY,H4,2018-01-11 04:00,133.086,133.486,133.032,133.458,2018,1,1,2
EURJPY,H4,2018-01-11 08:00,133.456,133.625,133.389,133.625,2018,1,1,2
EURJPY,H4,2018-01-11 12:00,133.626,133.646,133.243,133.353,2018,1,1,2
EURJPY,H4,2018-01-11 16:00,133.352,134.339,133.238,134.181,2018,1,1,2
EURJPY,H4,2018-01-11 20:00,134.183,134.340,133.950,134.021,2018,1,1,2
