Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
EURJPY,MN,1993-04-01 04:00,137.840,139.040,135.730,137.140,1993,2,4,13
EURJPY,MN,1993-05-01 04:00,136.600,137.400,129.890,131.610,1993,2,5,17
EURJPY,MN,1993-06-01 04:00,132.140,132.390,120.530,122.920,1993,2,6,22
EURJPY,MN,1993-07-01 04:00,122.950,125.750,117.130,117.990,1993,3,7,26
EURJPY,MN,1993-08-01 04:00,117.190,123.320,115.580,122.150,1993,3,8,30
EURJPY,MN,1993-09-01 04:00,122.130,130.650,121.890,127.020,1993,3,9,35
EURJPY,MN,1993-10-01 04:00,127.040,130.520,125.200,126.020,1993,4,10,39
EURJPY,MN,1993-11-01 04:00,125.960,126.190,121.940,124.390,1993,4,11,44
EURJPY,MN,1993-12-01 04:00,124.350,128.460,123.020,125.640,1993,4,12,48
EURJPY,MN,1994-01-01 04:00,125.850,127.890,122.050,122.160,1994,1,1,1
EURJPY,MN,1994-02-01 04:00,122.090,122.490,115.250,120.000,1994,1,2,5
EURJPY,MN,1994-03-01 04:00,119.990,124.370,118.350,119.900,1994,1,3,9
EURJPY,MN,1994-04-01 04:00,120.170,120.760,117.390,120.220,1994,2,4,13
EURJPY,MN,1994-05-01 04:00,120.280,124.760,119.980,124.400,1994,2,5,17
EURJPY,MN,1994-06-01 04:00,124.450,125.050,120.960,121.440,1994,2,6,22
EURJPY,MN,1994-07-01 04:00,121.460,125.150,120.190,123.390,1994,3,7,26
EURJPY,MN,1994-08-01 04:00,122.800,126.890,122.140,123.920,1994,3,8,31
EURJPY,MN,1994-09-01 04:00,123.890,126.290,122.980,124.570,1994,3,9,35
EURJPY,MN,1994-10-01 04:00,124.530,127.910,124.330,126.130,1994,4,10,39
EURJPY,MN,1994-11-01 04:00,126.070,126.690,123.050,123.270,1994,4,11,44
EURJPY,MN,1994-12-01 04:00,123.260,126.680,123.220,125.900,1994,4,12,48
EURJPY,MN,1995-01-01 04:00,125.880,129.500,125.240,127.630,1995,1,1,1
EURJPY,MN,1995-02-01 04:00,127.610,130.590,126.160,129.450,1995,1,2,5
EURJPY,MN,1995-03-01 04:00,129.430,131.710,122.260,123.760,1995,1,3,9
EURJPY,MN,1995-04-01 04:00,123.690,124.010,112.310,118.740,1995,2,4,13
EURJPY,MN,1995-05-01 04:00,118.740,121.040,116.270,116.890,1995,2,5,18
EURJPY,MN,1995-06-01 04:00,116.920,120.220,116.380,119.990,1995,2,6,22
EURJPY,MN,1995-07-01 04:00,119.950,125.400,119.810,124.730,1995,3,7,26
