Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
EURJPY,W1,1993-04-25 04:00,137.840,139.040,135.730,137.140,1993,2,4,16
EURJPY,W1,1993-05-02 04:00,136.600,137.400,135.990,136.120,1993,2,5,17
EURJPY,W1,1993-05-09 04:00,136.420,136.650,134.820,135.190,1993,2,5,18
EURJPY,W1,1993-05-16 04:00,135.490,135.490,132.310,132.750,1993,2,5,19
EURJPY,W1,1993-05-23 04:00,132.770,132.910,129.890,131.800,1993,2,5,20
EURJPY,W1,1993-05-30 04:00,132.390,132.460,129.450,129.470,1993,2,5,21
EURJPY,W1,1993-06-06 04:00,129.620,129.820,126.440,127.610,1993,2,6,22
EURJPY,W1,1993-06-13 04:00,127.450,128.000,125.440,127.560,1993,2,6,23
EURJPY,W1,1993-06-20 04:00,127.290,129.140,121.650,121.710,1993,2,6,24
EURJPY,W1,1993-06-27 04:00,121.020,125.420,120.530,125.080,1993,2,6,25
EURJPY,W1,1993-07-04 04:00,125.480,125.750,122.570,124.790,1993,3,7,26
EURJPY,W1,1993-07-11 04:00,125.110,125.240,121.770,122.370,1993,3,7,27
EURJPY,W1,1993-07-18 04:00,122.960,125.280,120.660,121.610,1993,3,7,28
EURJPY,W1,1993-07-25 04:00,121.640,121.810,117.130,117.990,1993,3,7,29
EURJPY,W1,1993-08-01 04:00,117.190,120.760,117.180,120.170,1993,3,8,30
EURJPY,W1,1993-08-08 04:00,120.500,121.130,116.090,116.400,1993,3,8,31
EURJPY,W1,1993-08-15 04:00,116.170,123.320,115.580,121.830,1993,3,8,32
EURJPY,W1,1993-08-22 04:00,121.280,123.000,119.170,121.900,1993,3,8,33
EURJPY,W1,1993-08-29 04:00,122.060,126.880,121.250,126.320,1993,3,8,34
EURJPY,W1,1993-09-05 04:00,126.350,130.580,124.780,129.960,1993,3,9,35
EURJPY,W1,1993-09-12 04:00,129.630,130.650,126.080,126.510,1993,3,9,36
EURJPY,W1,1993-09-19 04:00,126.930,129.240,125.050,126.510,1993,3,9,37
EURJPY,W1,1993-09-26 04:00,126.850,128.210,126.380,127.090,1993,3,9,38
EURJPY,W1,1993-10-03 04:00,125.850,129.520,125.340,129.520,1993,4,10,39
EURJPY,W1,1993-10-10 04:00,129.470,130.520,129.060,129.580,1993,4,10,40
EURJPY,W1,1993-10-17 04:00,129.410,129.810,125.980,126.000,1993,4,10,41
EURJPY,W1,1993-10-24 04:00,126.220,127.290,125.200,126.020,1993,4,10,42
EURJPY,W1,1993-10-31 04:00,125.960,126.190,123.470,125.180,1993,4,10,43
EURJPY,W1,1993-11-07 04:00,125.240,125.730,122.340,122.950,1993,4,11,44
EURJPY,W1,1993-11-14 04:00,122.940,123.970,121.940,123.550,1993,4,11,45
EURJPY,W1,1993-11-21 04:00,123.550,124.970,123.500,124.270,1993,4,11,46
EURJPY,W1,1993-11-28 04:00,124.350,125.160,123.020,123.450,1993,4,11,47
EURJPY,W1,1993-12-05 04:00,123.460,125.900,123.190,125.730,1993,4,12,48
EURJPY,W1,1993-12-12 04:00,125.650,126.400,124.510,125.900,1993,4,12,49
EURJPY,W1,1993-12-19 04:00,125.940,128.120,125.720,127.420,1993,4,12,50
EURJPY,W1,1993-12-26 04:00,127.650,128.460,125.460,125.640,1993,4,12,51
EURJPY,W1,1994-01-02 04:00,125.850,127.890,125.720,126.710,1994,1,1,1
EURJPY,W1,1994-01-09 04:00,126.570,127.060,123.510,124.000,1994,1,1,1
EURJPY,W1,1994-01-16 04:00,124.190,125.710,123.410,124.740,1994,1,1,2
EURJPY,W1,1994-01-23 04:00,125.040,125.340,122.300,123.550,1994,1,1,3
EURJPY,W1,1994-01-30 04:00,123.420,123.470,121.250,121.320,1994,1,1,4
EURJPY,W1,1994-02-06 04:00,121.220,121.220,118.470,118.470,1994,1,2,5
EURJPY,W1,1994-02-13 04:00,118.580,119.480,115.250,119.480,1994,1,2,6
EURJPY,W1,1994-02-20 04:00,119.530,121.160,118.610,119.180,1994,1,2,7
EURJPY,W1,1994-02-27 04:00,119.200,120.490,118.350,119.950,1994,1,2,8
EURJPY,W1,1994-03-06 04:00,119.930,122.800,119.590,122.090,1994,1,3,9
EURJPY,W1,1994-03-13 04:00,122.060,123.210,121.890,122.470,1994,1,3,10
EURJPY,W1,1994-03-20 04:00,122.440,124.370,122.040,123.180,1994,1,3,11
EURJPY,W1,1994-03-27 04:00,123.280,123.280,119.250,119.360,1994,1,3,12
EURJPY,W1,1994-04-03 04:00,119.540,120.760,118.460,120.260,1994,2,4,13
