Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
EURUSD,W1,1971-01-02 21:00,0.53690,0.53710,0.53650,0.53710,1971,1,1,1
EURUSD,W1,1971-01-09 21:00,0.53710,0.53760,0.53710,0.53760,1971,1,1,1
EURUSD,W1,1971-01-16 21:00,0.53790,0.53860,0.53770,0.53860,1971,1,1,2
EURUSD,W1,1971-01-23 21:00,0.53850,0.53880,0.53850,0.53870,1971,1,1,3
EURUSD,W1,1971-01-30 21:00,0.53860,0.53890,0.53840,0.53840,1971,1,1,4
EURUSD,W1,1971-02-06 21:00,0.53850,0.53860,0.53810,0.53810,1971,1,2,5
EURUSD,W1,1971-02-13 21:00,0.53850,0.53870,0.53840,0.53850,1971,1,2,6
EURUSD,W1,1971-02-20 21:00,0.53880,0.53890,0.53790,0.53790,1971,1,2,7
EURUSD,W1,1971-02-27 21:00,0.53830,0.53900,0.53820,0.53860,1971,1,2,8
EURUSD,W1,1971-03-06 21:00,0.53850,0.53880,0.53840,0.53850,1971,1,3,9
EURUSD,W1,1971-03-13 21:00,0.53840,0.53870,0.53840,0.53870,1971,1,3,10
EURUSD,W1,1971-03-20 21:00,0.53870,0.53870,0.53860,0.53870,1971,1,3,11
EURUSD,W1,1971-03-27 21:00,0.53840,0.53890,0.53840,0.53890,1971,1,3,12
EURUSD,W1,1971-04-03 21:00,0.53850,0.53870,0.53850,0.53870,1971,2,4,13
EURUSD,W1,1971-04-10 21:00,0.53810,0.53820,0.53770,0.53770,1971,2,4,14
EURUSD,W1,1971-04-17 21:00,0.53670,0.53810,0.53670,0.53730,1971,2,4,15
EURUSD,W1,1971-04-24 21:00,0.53750,0.53840,0.53750,0.53840,1971,2,4,16
EURUSD,W1,1971-05-01 21:00,0.53850,0.54790,0.53850,0.54790,1971,2,5,17
EURUSD,W1,1971-05-08 21:00,0.55250,0.55250,0.54800,0.55150,1971,2,5,18
EURUSD,W1,1971-05-15 21:00,0.55130,0.55860,0.55130,0.55860,1971,2,5,19
EURUSD,W1,1971-05-22 21:00,0.55730,0.55730,0.55140,0.55140,1971,2,5,20
EURUSD,W1,1971-05-29 21:00,0.54780,0.55450,0.54780,0.55450,1971,2,5,21
EURUSD,W1,1971-06-05 21:00,0.55540,0.55770,0.55540,0.55770,1971,2,6,22
