Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
GBPJPY,MN,1993-04-01 04:00,169.780,176.660,168.790,175.020,1993,2,4,13
GBPJPY,MN,1993-05-01 04:00,174.680,175.570,166.340,167.340,1993,2,5,17
GBPJPY,MN,1993-06-01 04:00,166.790,167.500,156.080,159.470,1993,2,6,22
GBPJPY,MN,1993-07-01 04:00,161.750,165.130,154.130,156.010,1993,3,7,26
GBPJPY,MN,1993-08-01 04:00,154.840,159.080,147.430,155.950,1993,3,8,30
GBPJPY,MN,1993-09-01 04:00,155.980,166.070,155.980,158.800,1993,3,9,35
GBPJPY,MN,1993-10-01 04:00,158.750,163.450,158.440,160.660,1993,4,10,39
GBPJPY,MN,1993-11-01 04:00,161.250,162.970,156.840,162.090,1993,4,11,44
GBPJPY,MN,1993-12-01 04:00,161.220,168.330,160.170,165.060,1993,4,12,48
GBPJPY,MN,1994-01-01 04:00,164.890,169.390,163.020,163.580,1994,1,1,1
GBPJPY,MN,1994-02-01 04:00,162.320,163.490,151.190,154.920,1994,1,2,5
GBPJPY,MN,1994-03-01 04:00,155.290,159.550,151.750,152.000,1994,1,3,9
GBPJPY,MN,1994-04-01 04:00,152.600,155.610,150.500,154.230,1994,2,4,13
GBPJPY,MN,1994-05-01 04:00,154.000,158.500,152.310,158.360,1994,2,5,17
GBPJPY,MN,1994-06-01 04:00,158.150,159.210,151.850,152.260,1994,2,6,22
GBPJPY,MN,1994-07-01 04:00,151.630,154.990,148.990,154.450,1994,3,7,26
GBPJPY,MN,1994-08-01 04:00,152.640,156.690,151.250,153.880,1994,3,8,31
GBPJPY,MN,1994-09-01 04:00,153.380,156.920,152.240,155.910,1994,3,9,35
GBPJPY,MN,1994-10-01 04:00,156.160,159.890,156.020,158.570,1994,4,10,39
GBPJPY,MN,1994-11-01 04:00,158.520,158.960,153.440,155.120,1994,4,11,44
GBPJPY,MN,1994-12-01 04:00,155.180,157.620,154.670,155.990,1994,4,12,48
GBPJPY,MN,1995-01-01 04:00,156.140,159.590,153.760,157.500,1995,1,1,1
GBPJPY,MN,1995-02-01 04:00,157.110,158.160,152.430,153.140,1995,1,2,5
GBPJPY,MN,1995-03-01 04:00,152.900,154.340,139.560,141.000,1995,1,3,9
GBPJPY,MN,1995-04-01 04:00,140.540,141.000,129.320,135.030,1995,2,4,13
GBPJPY,MN,1995-05-01 04:00,135.310,138.200,131.580,134.090,1995,2,5,18
GBPJPY,MN,1995-06-01 04:00,134.420,136.330,132.670,134.940,1995,2,6,22
GBPJPY,MN,1995-07-01 04:00,134.970,142.200,134.600,141.140,1995,3,7,26
GBPJPY,MN,1995-08-01 04:00,140.620,153.440,140.330,151.880,1995,3,8,31
GBPJPY,MN,1995-09-01 04:00,151.240,161.510,150.830,157.130,1995,3,9,35
GBPJPY,MN,1995-10-01 04:00,157.770,161.950,156.960,161.840,1995,4,10,39
GBPJPY,MN,1995-11-01 04:00,161.730,164.400,154.690,155.790,1995,4,11,44
GBPJPY,MN,1995-12-01 04:00,156.330,160.590,154.190,160.490,1995,4,12,48
GBPJPY,MN,1996-01-01 04:00,159.780,164.800,158.780,161.850,1996,1,1,1
GBPJPY,MN,1996-02-01 04:00,161.550,164.650,159.250,161.110,1996,1,2,5
GBPJPY,MN,1996-03-01 04:00,161.090,164.560,159.950,163.630,1996,1,3,9
GBPJPY,MN,1996-04-01 04:00,163.590,165.420,156.740,157.950,1996,2,4,14
GBPJPY,MN,1996-05-01 04:00,157.820,167.670,156.300,167.510,1996,2,5,18
GBPJPY,MN,1996-06-01 04:00,167.230,170.840,165.850,170.160,1996,2,6,22
GBPJPY,MN,1996-07-01 04:00,170.170,172.980,165.570,166.410,1996,3,7,27
GBPJPY,MN,1996-08-01 04:00,166.350,170.470,164.050,170.390,1996,3,8,31
GBPJPY,MN,1996-09-01 04:00,170.070,174.990,169.160,174.390,1996,3,9,35
GBPJPY,MN,1996-10-01 04:00,174.300,187.290,173.160,185.590,1996,4,10,40
GBPJPY,MN,1996-11-01 04:00,185.480,191.920,182.720,191.660,1996,4,11,44
GBPJPY,MN,1996-12-01 04:00,191.390,199.080,181.370,198.870,1996,4,12,48
GBPJPY,MN,1997-01-01 04:00,196.530,199.030,192.700,194.420,1997,1,1,1
GBPJPY,MN,1997-02-01 04:00,193.830,203.870,193.700,196.020,1997,1,2,5
GBPJPY,MN,1997-03-01 04:00,195.880,203.720,194.030,203.050,1997,1,3,9
GBPJPY,MN,1997-04-01 04:00,202.970,207.810,200.460,206.500,1997,2,4,14
