Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
GBPUSD,D1,1993-05-12 04:00,1.53700,1.54450,1.52900,1.53380,1993,2,5,19
GBPUSD,D1,1993-05-13 04:00,1.53280,1.53600,1.51800,1.52250,1993,2,5,19
GBPUSD,D1,1993-05-14 04:00,1.52280,1.54150,1.52000,1.53870,1993,2,5,19
GBPUSD,D1,1993-05-17 04:00,1.53650,1.54600,1.53090,1.53550,1993,2,5,20
GBPUSD,D1,1993-05-18 04:00,1.53500,1.53800,1.52370,1.53650,1993,2,5,20
GBPUSD,D1,1993-05-19 04:00,1.53500,1.54820,1.53280,1.54320,1993,2,5,20
GBPUSD,D1,1993-05-20 04:00,1.54250,1.56030,1.53830,1.55650,1993,2,5,20
GBPUSD,D1,1993-05-21 04:00,1.55480,1.55920,1.53900,1.54250,1993,2,5,20
GBPUSD,D1,1993-05-24 04:00,1.54000,1.54500,1.52890,1.53650,1993,2,5,21
GBPUSD,D1,1993-05-25 04:00,1.53850,1.54700,1.53450,1.54200,1993,2,5,21
GBPUSD,D1,1993-05-26 04:00,1.54200,1.55050,1.54100,1.54720,1993,2,5,21
GBPUSD,D1,1993-05-27 04:00,1.54530,1.56500,1.54250,1.56200,1993,2,5,21
GBPUSD,D1,1993-05-28 04:00,1.56100,1.56800,1.55350,1.56070,1993,2,5,21
GBPUSD,D1,1993-05-31 04:00,1.56050,1.56300,1.55600,1.56100,1993,2,5,22
GBPUSD,D1,1993-06-01 04:00,1.56130,1.56700,1.54600,1.55550,1993,2,6,22
GBPUSD,D1,1993-06-02 04:00,1.55440,1.55600,1.53640,1.54000,1993,2,6,22
GBPUSD,D1,1993-06-03 04:00,1.54030,1.55010,1.53700,1.55010,1993,2,6,22
GBPUSD,D1,1993-06-04 04:00,1.54900,1.55050,1.50600,1.50850,1993,2,6,22
GBPUSD,D1,1993-06-07 04:00,1.50630,1.52680,1.50600,1.52680,1993,2,6,23
GBPUSD,D1,1993-06-08 04:00,1.52530,1.52650,1.51350,1.52050,1993,2,6,23
GBPUSD,D1,1993-06-09 04:00,1.51950,1.52700,1.50690,1.51520,1993,2,6,23
GBPUSD,D1,1993-06-10 04:00,1.51370,1.53250,1.50700,1.53050,1993,2,6,23
GBPUSD,D1,1993-06-11 04:00,1.52930,1.54050,1.51850,1.52150,1993,2,6,23
GBPUSD,D1,1993-06-14 04:00,1.51900,1.53300,1.51900,1.52850,1993,2,6,24
GBPUSD,D1,1993-06-15 04:00,1.52750,1.53550,1.51400,1.51650,1993,2,6,24
GBPUSD,D1,1993-06-16 04:00,1.51550,1.52000,1.49800,1.50620,1993,2,6,24
GBPUSD,D1,1993-06-17 04:00,1.50550,1.51870,1.49850,1.51400,1993,2,6,24
GBPUSD,D1,1993-06-18 04:00,1.51420,1.51700,1.49200,1.49750,1993,2,6,24
