Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
GBPUSD,MN,1993-05-01 04:00,1.53700,1.56800,1.51800,1.56100,1993,2,5,17
GBPUSD,MN,1993-06-01 04:00,1.56130,1.56700,1.46370,1.49080,1993,2,6,22
GBPUSD,MN,1993-07-01 04:00,1.48980,1.52550,1.47200,1.48150,1993,3,7,26
GBPUSD,MN,1993-08-01 04:00,1.47900,1.52150,1.45500,1.49120,1993,3,8,30
GBPUSD,MN,1993-09-01 04:00,1.49050,1.55800,1.48550,1.49500,1993,3,9,35
GBPUSD,MN,1993-10-01 04:00,1.49500,1.53950,1.47000,1.47800,1993,4,10,39
GBPUSD,MN,1993-11-01 04:00,1.48250,1.49810,1.46350,1.48630,1993,4,11,44
GBPUSD,MN,1993-12-01 04:00,1.48560,1.51150,1.47200,1.47650,1993,4,12,48
GBPUSD,MN,1994-01-01 04:00,1.47800,1.51200,1.47400,1.50740,1994,1,1,1
GBPUSD,MN,1994-02-01 04:00,1.50640,1.50970,1.45400,1.48580,1994,1,2,5
GBPUSD,MN,1994-03-01 04:00,1.48470,1.50600,1.47340,1.48400,1994,1,3,9
GBPUSD,MN,1994-04-01 04:00,1.48350,1.52600,1.46070,1.52000,1994,2,4,13
GBPUSD,MN,1994-05-01 04:00,1.51600,1.52100,1.48500,1.51150,1994,2,5,17
GBPUSD,MN,1994-06-01 04:00,1.51090,1.55950,1.50150,1.54480,1994,2,6,22
GBPUSD,MN,1994-07-01 04:00,1.54320,1.57700,1.52000,1.54400,1994,3,7,26
GBPUSD,MN,1994-08-01 04:00,1.55250,1.56250,1.52040,1.53520,1994,3,8,31
GBPUSD,MN,1994-09-01 04:00,1.53430,1.59020,1.53150,1.57770,1994,3,9,35
GBPUSD,MN,1994-10-01 04:00,1.57660,1.64200,1.57290,1.63650,1994,4,10,39
GBPUSD,MN,1994-11-01 04:00,1.63550,1.64500,1.55850,1.56620,1994,4,11,44
GBPUSD,MN,1994-12-01 04:00,1.56540,1.57700,1.53900,1.56620,1994,4,12,48
GBPUSD,MN,1995-01-01 04:00,1.56370,1.60360,1.54750,1.58000,1995,1,1,1
GBPUSD,MN,1995-02-01 04:00,1.58050,1.59790,1.54910,1.58550,1995,1,2,5
GBPUSD,MN,1995-03-01 04:00,1.58480,1.66840,1.56350,1.62200,1995,1,3,9
GBPUSD,MN,1995-04-01 04:00,1.62430,1.62800,1.58470,1.60920,1995,2,4,13
GBPUSD,MN,1995-05-01 04:00,1.61000,1.62500,1.54610,1.58560,1995,2,5,18
GBPUSD,MN,1995-06-01 04:00,1.58600,1.61850,1.56840,1.59570,1995,2,6,22
GBPUSD,MN,1995-07-01 04:00,1.59210,1.60650,1.58430,1.59690,1995,3,7,26
GBPUSD,MN,1995-08-01 04:00,1.59650,1.61200,1.52900,1.54980,1995,3,8,31
GBPUSD,MN,1995-09-01 04:00,1.55100,1.59900,1.54200,1.58500,1995,3,9,35
GBPUSD,MN,1995-10-01 04:00,1.58150,1.59610,1.56600,1.58100,1995,4,10,39
GBPUSD,MN,1995-11-01 04:00,1.58070,1.58700,1.52330,1.53360,1995,4,11,44
GBPUSD,MN,1995-12-01 04:00,1.53380,1.56300,1.52030,1.54980,1995,4,12,48
GBPUSD,MN,1996-01-01 04:00,1.54700,1.56050,1.49700,1.51490,1996,1,1,1
GBPUSD,MN,1996-02-01 04:00,1.51330,1.55350,1.51110,1.53250,1996,1,2,5
GBPUSD,MN,1996-03-01 04:00,1.53180,1.54150,1.51500,1.52690,1996,1,3,9
GBPUSD,MN,1996-04-01 04:00,1.52500,1.53320,1.49800,1.50580,1996,2,4,14
GBPUSD,MN,1996-05-01 04:00,1.50540,1.55490,1.48900,1.55280,1996,2,5,18
GBPUSD,MN,1996-06-01 04:00,1.55230,1.55750,1.52700,1.55310,1996,2,6,22
GBPUSD,MN,1996-07-01 04:00,1.55120,1.56500,1.53680,1.55750,1996,3,7,27
GBPUSD,MN,1996-08-01 04:00,1.55620,1.56600,1.53400,1.56500,1996,3,8,31
GBPUSD,MN,1996-09-01 04:00,1.56070,1.57260,1.54850,1.56570,1996,3,9,35
GBPUSD,MN,1996-10-01 04:00,1.56510,1.63570,1.56020,1.62660,1996,4,10,40
GBPUSD,MN,1996-11-01 04:00,1.62600,1.69200,1.62490,1.68230,1996,4,11,44
GBPUSD,MN,1996-12-01 04:00,1.68270,1.71730,1.60950,1.71450,1996,4,12,48
GBPUSD,MN,1997-01-01 04:00,1.71000,1.71330,1.59450,1.60220,1997,1,1,1
GBPUSD,MN,1997-02-01 04:00,1.59750,1.64750,1.59690,1.62920,1997,1,2,5
GBPUSD,MN,1997-03-01 04:00,1.62770,1.64800,1.58490,1.63850,1997,1,3,9
GBPUSD,MN,1997-04-01 04:00,1.63800,1.65600,1.61540,1.62450,1997,2,4,14
GBPUSD,MN,1997-05-01 04:00,1.62400,1.66080,1.60000,1.64150,1997,2,5,18
GBPUSD,MN,1997-06-01 04:00,1.64080,1.67350,1.61880,1.66580,1997,2,6,22
GBPUSD,MN,1997-07-01 04:00,1.66520,1.70020,1.62300,1.64100,1997,3,7,27
GBPUSD,MN,1997-08-01 04:00,1.64070,1.64350,1.56630,1.62330,1997,3,8,31
GBPUSD,MN,1997-09-01 04:00,1.61400,1.63050,1.57670,1.61900,1997,3,9,36
GBPUSD,MN,1997-10-01 04:00,1.61730,1.68820,1.59850,1.67480,1997,4,10,40
GBPUSD,MN,1997-11-01 04:00,1.67800,1.71550,1.66690,1.68900,1997,4,11,44
GBPUSD,MN,1997-12-01 04:00,1.68960,1.69070,1.62640,1.65000,1997,4,12,49
GBPUSD,MN,1998-01-01 04:00,1.64740,1.68700,1.60900,1.63460,1998,1,1,1
GBPUSD,MN,1998-02-01 04:00,1.63080,1.66090,1.62050,1.64420,1998,1,2,5
GBPUSD,MN,1998-03-01 04:00,1.64480,1.69000,1.62790,1.67280,1998,1,3,9
GBPUSD,MN,1998-04-01 04:00,1.67220,1.69820,1.65460,1.67290,1998,2,4,14
GBPUSD,MN,1998-05-01 04:00,1.67000,1.67500,1.61520,1.63100,1998,2,5,18
GBPUSD,MN,1998-06-01 04:00,1.63250,1.67930,1.62500,1.66770,1998,2,6,23
GBPUSD,MN,1998-07-01 04:00,1.66730,1.67230,1.62670,1.63270,1998,3,7,27
GBPUSD,MN,1998-08-01 04:00,1.63400,1.68830,1.60750,1.68150,1998,3,8,31
GBPUSD,MN,1998-09-01 04:00,1.68300,1.71850,1.65000,1.70050,1998,3,9,36
GBPUSD,MN,1998-10-01 04:00,1.69950,1.73670,1.66200,1.67550,1998,4,10,40
GBPUSD,MN,1998-11-01 04:00,1.67600,1.68060,1.64240,1.64790,1998,4,11,44
GBPUSD,MN,1998-12-01 04:00,1.64830,1.69500,1.64590,1.66090,1998,4,12,49
GBPUSD,MN,1999-01-01 04:00,1.66860,1.67200,1.62330,1.64500,1999,1,1,1
GBPUSD,MN,1999-02-01 04:00,1.64690,1.64810,1.59520,1.60380,1999,1,2,5
GBPUSD,MN,1999-03-01 04:00,1.59970,1.64800,1.59520,1.61030,1999,1,3,9
GBPUSD,MN,1999-04-01 04:00,1.61140,1.62390,1.58410,1.60950,1999,2,4,13
GBPUSD,MN,1999-05-01 04:00,1.60970,1.64350,1.58820,1.60280,1999,2,5,17
GBPUSD,MN,1999-06-01 04:00,1.60260,1.61810,1.57200,1.57780,1999,2,6,22
GBPUSD,MN,1999-07-01 04:00,1.57820,1.62560,1.54700,1.62150,1999,3,7,26
GBPUSD,MN,1999-08-01 04:00,1.62030,1.62830,1.58320,1.60370,1999,3,8,30
GBPUSD,MN,1999-09-01 04:00,1.60420,1.65150,1.59830,1.64710,1999,3,9,35
GBPUSD,MN,1999-10-01 04:00,1.64650,1.67950,1.63260,1.64290,1999,4,10,39
GBPUSD,MN,1999-11-01 04:00,1.64410,1.65190,1.59110,1.59760,1999,4,11,44
GBPUSD,MN,1999-12-01 04:00,1.59800,1.63120,1.59520,1.61540,1999,4,12,48
GBPUSD,MN,2000-01-01 04:00,1.61460,1.65810,1.61270,1.61560,2000,1,1,1
GBPUSD,MN,2000-02-01 04:00,1.61550,1.61960,1.57750,1.58000,2000,1,2,5
GBPUSD,MN,2000-03-01 04:00,1.57910,1.60080,1.56140,1.59110,2000,1,3,9
GBPUSD,MN,2000-04-01 04:00,1.59120,1.60820,1.55050,1.55210,2000,2,4,13
GBPUSD,MN,2000-05-01 04:00,1.55350,1.56730,1.46640,1.50040,2000,2,5,18
GBPUSD,MN,2000-06-01 04:00,1.50060,1.53140,1.48970,1.51730,2000,2,6,22
GBPUSD,MN,2000-07-01 04:00,1.51680,1.52230,1.49040,1.50000,2000,3,7,26
GBPUSD,MN,2000-08-01 04:00,1.49970,1.51430,1.44190,1.44750,2000,3,8,31
GBPUSD,MN,2000-09-01 04:00,1.44690,1.48020,1.39500,1.47610,2000,3,9,35
GBPUSD,MN,2000-10-01 04:00,1.47640,1.48040,1.41910,1.44800,2000,4,10,39
GBPUSD,MN,2000-11-01 04:00,1.44850,1.45730,1.39570,1.42530,2000,4,11,44
GBPUSD,MN,2000-12-01 04:00,1.42520,1.49830,1.42320,1.49290,2000,4,12,48
GBPUSD,MN,2001-01-01 04:00,1.49310,1.51060,1.44630,1.46430,2001,1,1,1
GBPUSD,MN,2001-02-01 04:00,1.46450,1.48380,1.43100,1.44550,2001,1,2,5
GBPUSD,MN,2001-03-01 04:00,1.44550,1.47630,1.41510,1.41630,2001,1,3,9
GBPUSD,MN,2001-04-01 04:00,1.41440,1.45020,1.41380,1.43330,2001,2,4,13
