Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
USDCAD,D1,1993-04-28 04:00,1.27600,1.28100,1.26830,1.26900,1993,2,4,17
USDCAD,D1,1993-04-29 04:00,1.27150,1.27400,1.26870,1.27150,1993,2,4,17
USDCAD,D1,1993-04-30 04:00,1.27150,1.27500,1.26930,1.27110,1993,2,4,17
USDCAD,D1,1993-05-03 04:00,1.26950,1.27050,1.26700,1.26750,1993,2,5,18
USDCAD,D1,1993-05-04 04:00,1.26680,1.27320,1.26580,1.27100,1993,2,5,18
USDCAD,D1,1993-05-05 04:00,1.27050,1.27660,1.27050,1.27200,1993,2,5,18
USDCAD,D1,1993-05-06 04:00,1.27330,1.27400,1.26830,1.26880,1993,2,5,18
USDCAD,D1,1993-05-07 04:00,1.26840,1.27480,1.26730,1.26900,1993,2,5,18
USDCAD,D1,1993-05-10 04:00,1.26800,1.27010,1.26600,1.27010,1993,2,5,19
USDCAD,D1,1993-05-11 04:00,1.27080,1.27580,1.27080,1.27460,1993,2,5,19
USDCAD,D1,1993-05-12 04:00,1.27500,1.27850,1.27300,1.27350,1993,2,5,19
USDCAD,D1,1993-05-13 04:00,1.27350,1.27460,1.27050,1.27310,1993,2,5,19
USDCAD,D1,1993-05-14 04:00,1.27320,1.27500,1.26900,1.27440,1993,2,5,19
USDCAD,D1,1993-05-17 04:00,1.27380,1.27750,1.27340,1.27620,1993,2,5,20
USDCAD,D1,1993-05-18 04:00,1.27550,1.27850,1.26710,1.26850,1993,2,5,20
USDCAD,D1,1993-05-19 04:00,1.26730,1.26970,1.26300,1.26400,1993,2,5,20
USDCAD,D1,1993-05-20 04:00,1.26360,1.26900,1.26350,1.26790,1993,2,5,20
USDCAD,D1,1993-05-21 04:00,1.26900,1.26950,1.26350,1.26430,1993,2,5,20
USDCAD,D1,1993-05-24 04:00,1.26350,1.26700,1.26030,1.26090,1993,2,5,21
USDCAD,D1,1993-05-25 04:00,1.26020,1.26300,1.25890,1.26050,1993,2,5,21
USDCAD,D1,1993-05-26 04:00,1.26150,1.26480,1.25900,1.26280,1993,2,5,21
USDCAD,D1,1993-05-27 04:00,1.26260,1.26650,1.26200,1.26510,1993,2,5,21
USDCAD,D1,1993-05-28 04:00,1.26440,1.27230,1.26350,1.27230,1993,2,5,21
USDCAD,D1,1993-05-31 04:00,1.27150,1.27330,1.26900,1.27130,1993,2,5,22
USDCAD,D1,1993-06-01 04:00,1.27090,1.27400,1.27030,1.27130,1993,2,6,22
USDCAD,D1,1993-06-02 04:00,1.27070,1.27250,1.26900,1.27190,1993,2,6,22
USDCAD,D1,1993-06-03 04:00,1.27190,1.27730,1.27100,1.27730,1993,2,6,22
USDCAD,D1,1993-06-04 04:00,1.27700,1.28030,1.27550,1.27930,1993,2,6,22
USDCAD,D1,1993-06-07 04:00,1.27880,1.28360,1.27550,1.28290,1993,2,6,23
USDCAD,D1,1993-06-08 04:00,1.28250,1.28600,1.28200,1.28210,1993,2,6,23
USDCAD,D1,1993-06-09 04:00,1.28200,1.28550,1.27820,1.27910,1993,2,6,23
USDCAD,D1,1993-06-10 04:00,1.27860,1.28220,1.27700,1.28140,1993,2,6,23
USDCAD,D1,1993-06-11 04:00,1.28180,1.28380,1.27800,1.28000,1993,2,6,23
USDCAD,D1,1993-06-14 04:00,1.28000,1.28330,1.27950,1.28070,1993,2,6,24
USDCAD,D1,1993-06-15 04:00,1.28080,1.28300,1.27830,1.27990,1993,2,6,24
USDCAD,D1,1993-06-16 04:00,1.27980,1.28210,1.27730,1.27830,1993,2,6,24
USDCAD,D1,1993-06-17 04:00,1.27870,1.28020,1.27550,1.27630,1993,2,6,24
USDCAD,D1,1993-06-18 04:00,1.27660,1.27900,1.27350,1.27400,1993,2,6,24
USDCAD,D1,1993-06-21 04:00,1.27340,1.27550,1.27230,1.27300,1993,2,6,25
USDCAD,D1,1993-06-22 04:00,1.27300,1.27890,1.27300,1.27780,1993,2,6,25
USDCAD,D1,1993-06-23 04:00,1.27780,1.28100,1.27750,1.28050,1993,2,6,25
USDCAD,D1,1993-06-24 04:00,1.27950,1.28400,1.27840,1.28310,1993,2,6,25
USDCAD,D1,1993-06-25 04:00,1.28300,1.28480,1.28150,1.28170,1993,2,6,25
USDCAD,D1,1993-06-28 04:00,1.28210,1.28650,1.28080,1.28190,1993,2,6,26
USDCAD,D1,1993-06-29 04:00,1.28220,1.28400,1.27900,1.28250,1993,2,6,26
USDCAD,D1,1993-06-30 04:00,1.28200,1.28320,1.27900,1.28230,1993,2,6,26
USDCAD,D1,1993-07-01 04:00,1.28200,1.29000,1.27980,1.28720,1993,3,7,26
USDCAD,D1,1993-07-02 04:00,1.28770,1.29020,1.28650,1.28750,1993,3,7,26
USDCAD,D1,1993-07-05 04:00,1.28710,1.28850,1.28430,1.28480,1993,3,7,27
USDCAD,D1,1993-07-06 04:00,1.28450,1.28850,1.28300,1.28410,1993,3,7,27
USDCAD,D1,1993-07-07 04:00,1.28400,1.28580,1.28150,1.28510,1993,3,7,27
USDCAD,D1,1993-07-08 04:00,1.28420,1.28630,1.27900,1.28000,1993,3,7,27
USDCAD,D1,1993-07-09 04:00,1.28010,1.28250,1.27630,1.27850,1993,3,7,27
USDCAD,D1,1993-07-12 04:00,1.27800,1.28050,1.27550,1.27830,1993,3,7,28
USDCAD,D1,1993-07-13 04:00,1.27760,1.28130,1.27570,1.28130,1993,3,7,28
USDCAD,D1,1993-07-14 04:00,1.28100,1.28500,1.27850,1.28300,1993,3,7,28
USDCAD,D1,1993-07-15 04:00,1.28220,1.28370,1.28030,1.28060,1993,3,7,28
USDCAD,D1,1993-07-16 04:00,1.28060,1.28500,1.27690,1.27790,1993,3,7,28
USDCAD,D1,1993-07-19 04:00,1.27700,1.28100,1.27700,1.27900,1993,3,7,29
