Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
USDCAD,H4,2017-11-28 16:00,1.27904,1.28067,1.27805,1.28005,2017,4,11,48
USDCAD,H4,2017-11-28 20:00,1.28006,1.28238,1.27898,1.28044,2017,4,11,48
USDCAD,H4,2017-11-29 00:00,1.28045,1.28224,1.27988,1.28118,2017,4,11,48
USDCAD,H4,2017-11-29 04:00,1.28118,1.28228,1.28098,1.28208,2017,4,11,48
USDCAD,H4,2017-11-29 08:00,1.28207,1.28218,1.28121,1.28145,2017,4,11,48
USDCAD,H4,2017-11-29 12:00,1.28144,1.28344,1.28068,1.28274,2017,4,11,48
USDCAD,H4,2017-11-29 16:00,1.28273,1.28586,1.28040,1.28508,2017,4,11,48
USDCAD,H4,2017-11-29 20:00,1.28507,1.28739,1.28388,1.28585,2017,4,11,48
USDCAD,H4,2017-11-30 00:00,1.28586,1.28666,1.28450,1.28619,2017,4,11,48
USDCAD,H4,2017-11-30 04:00,1.28617,1.29084,1.28497,1.28669,2017,4,11,48
USDCAD,H4,2017-11-30 08:00,1.28667,1.28694,1.28578,1.28642,2017,4,11,48
USDCAD,H4,2017-11-30 12:00,1.28644,1.28919,1.28553,1.28897,2017,4,11,48
USDCAD,H4,2017-11-30 16:00,1.28901,1.29016,1.28763,1.28771,2017,4,11,48
USDCAD,H4,2017-11-30 20:00,1.28768,1.29084,1.28497,1.28995,2017,4,11,48
USDCAD,H4,2017-12-01 00:00,1.28996,1.29056,1.28861,1.28948,2017,4,12,48
USDCAD,H4,2017-12-01 04:00,1.28948,1.29002,1.28811,1.28813,2017,4,12,48
USDCAD,H4,2017-12-01 08:00,1.28812,1.28817,1.28703,1.28714,2017,4,12,48
USDCAD,H4,2017-12-01 12:00,1.28714,1.28758,1.28539,1.28638,2017,4,12,48
USDCAD,H4,2017-12-01 16:00,1.28638,1.28907,1.27668,1.27670,2017,4,12,48
USDCAD,H4,2017-12-01 20:00,1.27671,1.27675,1.26890,1.27183,2017,4,12,48
USDCAD,H4,2017-12-02 00:00,1.27186,1.27219,1.26825,1.26852,2017,4,12,48
USDCAD,H4,2017-12-04 04:00,1.26971,1.27205,1.26896,1.27122,2017,4,12,49
USDCAD,H4,2017-12-04 08:00,1.27122,1.27186,1.27095,1.27162,2017,4,12,49
USDCAD,H4,2017-12-04 12:00,1.27161,1.27262,1.26877,1.26946,2017,4,12,49
USDCAD,H4,2017-12-04 16:00,1.26945,1.26965,1.26556,1.26718,2017,4,12,49
USDCAD,H4,2017-12-04 20:00,1.26721,1.27156,1.26692,1.27005,2017,4,12,49
USDCAD,H4,2017-12-05 00:00,1.27005,1.27071,1.26699,1.26711,2017,4,12,49
USDCAD,H4,2017-12-05 04:00,1.26713,1.27037,1.26227,1.26633,2017,4,12,49
USDCAD,H4,2017-12-05 08:00,1.26630,1.26684,1.26599,1.26622,2017,4,12,49
USDCAD,H4,2017-12-05 12:00,1.26623,1.26683,1.26509,1.26591,2017,4,12,49
USDCAD,H4,2017-12-05 16:00,1.26591,1.26620,1.26227,1.26470,2017,4,12,49
USDCAD,H4,2017-12-05 20:00,1.26471,1.27002,1.26458,1.26997,2017,4,12,49
USDCAD,H4,2017-12-06 00:00,1.26998,1.27037,1.26843,1.26901,2017,4,12,49
USDCAD,H4,2017-12-06 04:00,1.26901,1.27057,1.26839,1.27009,2017,4,12,49
USDCAD,H4,2017-12-06 08:00,1.27008,1.27032,1.26874,1.26884,2017,4,12,49
USDCAD,H4,2017-12-06 12:00,1.26883,1.27033,1.26613,1.26738,2017,4,12,49
USDCAD,H4,2017-12-06 16:00,1.26738,1.26772,1.26552,1.26762,2017,4,12,49
USDCAD,H4,2017-12-06 20:00,1.26764,1.28070,1.26523,1.27886,2017,4,12,49
USDCAD,H4,2017-12-07 00:00,1.27886,1.27993,1.27843,1.27874,2017,4,12,49
USDCAD,H4,2017-12-07 04:00,1.27874,1.28041,1.27794,1.27993,2017,4,12,49
USDCAD,H4,2017-12-07 08:00,1.27993,1.28064,1.27961,1.28061,2017,4,12,49
USDCAD,H4,2017-12-07 12:00,1.28061,1.28332,1.28058,1.28263,2017,4,12,49
USDCAD,H4,2017-12-07 16:00,1.28262,1.28454,1.28155,1.28354,2017,4,12,49
USDCAD,H4,2017-12-07 20:00,1.28352,1.28673,1.28123,1.28214,2017,4,12,49
USDCAD,H4,2017-12-08 00:00,1.28213,1.28622,1.28183,1.28523,2017,4,12,49
USDCAD,H4,2017-12-08 04:00,1.28523,1.28602,1.28501,1.28564,2017,4,12,49
USDCAD,H4,2017-12-08 08:00,1.28564,1.28568,1.28504,1.28531,2017,4,12,49
USDCAD,H4,2017-12-08 12:00,1.28532,1.28680,1.28473,1.28670,2017,4,12,49
USDCAD,H4,2017-12-08 16:00,1.28670,1.28670,1.28030,1.28222,2017,4,12,49
USDCAD,H4,2017-12-08 20:00,1.28222,1.28790,1.28200,1.28697,2017,4,12,49
USDCAD,H4,2017-12-09 00:00,1.28697,1.28713,1.28469,1.28486,2017,4,12,49
USDCAD,H4,2017-12-11 04:00,1.28491,1.28632,1.28480,1.28541,2017,4,12,50
USDCAD,H4,2017-12-11 08:00,1.28541,1.28575,1.28378,1.28400,2017,4,12,50
USDCAD,H4,2017-12-11 12:00,1.28401,1.28466,1.28299,1.28431,2017,4,12,50
USDCAD,H4,2017-12-11 16:00,1.28432,1.28676,1.28411,1.28630,2017,4,12,50
USDCAD,H4,2017-12-11 20:00,1.28630,1.28647,1.28390,1.28533,2017,4,12,50
USDCAD,H4,2017-12-12 00:00,1.28534,1.28598,1.28444,1.28539,2017,4,12,50
USDCAD,H4,2017-12-12 04:00,1.28539,1.28604,1.28500,1.28531,2017,4,12,50
USDCAD,H4,2017-12-12 08:00,1.28532,1.28562,1.28427,1.28437,2017,4,12,50
USDCAD,H4,2017-12-12 12:00,1.28438,1.28439,1.28247,1.28275,2017,4,12,50
USDCAD,H4,2017-12-12 16:00,1.28274,1.28467,1.28123,1.28446,2017,4,12,50
USDCAD,H4,2017-12-12 20:00,1.28448,1.28915,1.28447,1.28802,2017,4,12,50
USDCAD,H4,2017-12-13 00:00,1.28801,1.28875,1.28609,1.28609,2017,4,12,50
USDCAD,H4,2017-12-13 04:00,1.28605,1.28782,1.28605,1.28652,2017,4,12,50
USDCAD,H4,2017-12-13 08:00,1.28653,1.28663,1.28484,1.28540,2017,4,12,50
USDCAD,H4,2017-12-13 12:00,1.28539,1.28794,1.28504,1.28744,2017,4,12,50
USDCAD,H4,2017-12-13 16:00,1.28743,1.28762,1.28207,1.28431,2017,4,12,50
USDCAD,H4,2017-12-13 20:00,1.28434,1.28772,1.28367,1.28645,2017,4,12,50
USDCAD,H4,2017-12-14 00:00,1.28645,1.28742,1.27907,1.28130,2017,4,12,50
USDCAD,H4,2017-12-14 04:00,1.28170,1.28651,1.27127,1.28015,2017,4,12,50
USDCAD,H4,2017-12-14 08:00,1.28017,1.28179,1.28009,1.28150,2017,4,12,50
USDCAD,H4,2017-12-14 12:00,1.28150,1.28652,1.28150,1.28376,2017,4,12,50
USDCAD,H4,2017-12-14 16:00,1.28378,1.28435,1.28161,1.28394,2017,4,12,50
USDCAD,H4,2017-12-14 20:00,1.28393,1.28556,1.27803,1.27824,2017,4,12,50
USDCAD,H4,2017-12-15 00:00,1.27825,1.28140,1.27127,1.27929,2017,4,12,50
USDCAD,H4,2017-12-15 04:00,1.27813,1.28936,1.27382,1.27780,2017,4,12,50
USDCAD,H4,2017-12-15 08:00,1.27780,1.27850,1.27707,1.27777,2017,4,12,50
USDCAD,H4,2017-12-15 12:00,1.27776,1.27777,1.27382,1.27504,2017,4,12,50
USDCAD,H4,2017-12-15 16:00,1.27503,1.27839,1.27464,1.27836,2017,4,12,50
USDCAD,H4,2017-12-15 20:00,1.27837,1.28649,1.27761,1.28379,2017,4,12,50
USDCAD,H4,2017-12-16 00:00,1.28380,1.28936,1.28380,1.28694,2017,4,12,50
USDCAD,H4,2017-12-18 04:00,1.28667,1.28799,1.28621,1.28629,2017,4,12,51
USDCAD,H4,2017-12-18 08:00,1.28629,1.28648,1.28496,1.28518,2017,4,12,51
USDCAD,H4,2017-12-18 12:00,1.28517,1.28716,1.28414,1.28709,2017,4,12,51
USDCAD,H4,2017-12-18 16:00,1.28709,1.28806,1.28682,1.28783,2017,4,12,51
USDCAD,H4,2017-12-18 20:00,1.28782,1.28782,1.28461,1.28533,2017,4,12,51
USDCAD,H4,2017-12-19 00:00,1.28535,1.28757,1.28524,1.28588,2017,4,12,51
USDCAD,H4,2017-12-19 04:00,1.28588,1.28751,1.28588,1.28713,2017,4,12,51
USDCAD,H4,2017-12-19 08:00,1.28713,1.28728,1.28576,1.28607,2017,4,12,51
USDCAD,H4,2017-12-19 12:00,1.28608,1.28637,1.28493,1.28568,2017,4,12,51
USDCAD,H4,2017-12-19 16:00,1.28570,1.28783,1.28521,1.28768,2017,4,12,51
USDCAD,H4,2017-12-19 20:00,1.28768,1.29193,1.28695,1.28846,2017,4,12,51
USDCAD,H4,2017-12-20 00:00,1.28846,1.28948,1.28646,1.28731,2017,4,12,51
USDCAD,H4,2017-12-20 04:00,1.28731,1.28797,1.28631,1.28655,2017,4,12,51
USDCAD,H4,2017-12-20 08:00,1.28654,1.28737,1.28634,1.28693,2017,4,12,51
USDCAD,H4,2017-12-20 12:00,1.28694,1.28709,1.28563,1.28662,2017,4,12,51
USDCAD,H4,2017-12-20 16:00,1.28661,1.28685,1.28176,1.28407,2017,4,12,51
USDCAD,H4,2017-12-20 20:00,1.28406,1.28626,1.28321,1.28402,2017,4,12,51
USDCAD,H4,2017-12-21 00:00,1.28403,1.28458,1.28249,1.28304,2017,4,12,51
USDCAD,H4,2017-12-21 04:00,1.28304,1.28357,1.28206,1.28314,2017,4,12,51
USDCAD,H4,2017-12-21 08:00,1.28315,1.28339,1.28221,1.28264,2017,4,12,51
USDCAD,H4,2017-12-21 12:00,1.28265,1.28382,1.28212,1.28340,2017,4,12,51
USDCAD,H4,2017-12-21 16:00,1.28340,1.28373,1.27189,1.27541,2017,4,12,51
USDCAD,H4,2017-12-21 20:00,1.27540,1.27712,1.26984,1.27046,2017,4,12,51
USDCAD,H4,2017-12-22 00:00,1.27047,1.27471,1.27035,1.27365,2017,4,12,51
USDCAD,H4,2017-12-22 04:00,1.27366,1.27453,1.27315,1.27412,2017,4,12,51
USDCAD,H4,2017-12-22 08:00,1.27413,1.27481,1.27380,1.27398,2017,4,12,51
USDCAD,H4,2017-12-22 12:00,1.27398,1.27444,1.27118,1.27174,2017,4,12,51
USDCAD,H4,2017-12-22 16:00,1.27176,1.27953,1.26969,1.27695,2017,4,12,51
USDCAD,H4,2017-12-22 20:00,1.27695,1.27838,1.27295,1.27310,2017,4,12,51
USDCAD,H4,2017-12-23 00:00,1.27310,1.27405,1.27141,1.27251,2017,4,12,51
USDCAD,H4,2017-12-26 04:00,1.27155,1.27271,1.26800,1.26800,2017,4,12,52
USDCAD,H4,2017-12-26 12:00,1.27154,1.27195,1.27103,1.27173,2017,4,12,52
USDCAD,H4,2017-12-26 16:00,1.27175,1.27271,1.27139,1.27183,2017,4,12,52
USDCAD,H4,2017-12-26 20:00,1.27183,1.27183,1.26838,1.26942,2017,4,12,52
USDCAD,H4,2017-12-27 00:00,1.26941,1.26966,1.26800,1.26800,2017,4,12,52
USDCAD,H4,2017-12-27 04:00,1.26798,1.26948,1.26786,1.26938,2017,4,12,52
USDCAD,H4,2017-12-27 08:00,1.26937,1.26946,1.26744,1.26761,2017,4,12,52
USDCAD,H4,2017-12-27 12:00,1.26760,1.26818,1.26520,1.26525,2017,4,12,52
USDCAD,H4,2017-12-27 16:00,1.26525,1.26559,1.26266,1.26314,2017,4,12,52
USDCAD,H4,2017-12-27 20:00,1.26315,1.26676,1.26264,1.26426,2017,4,12,52
