Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
USDCAD,MN,1993-04-01 04:00,1.27600,1.28100,1.26830,1.27110,1993,2,4,13
USDCAD,MN,1993-05-01 04:00,1.26950,1.27850,1.25890,1.27130,1993,2,5,17
USDCAD,MN,1993-06-01 04:00,1.27090,1.28650,1.26900,1.28230,1993,2,6,22
USDCAD,MN,1993-07-01 04:00,1.28200,1.29020,1.27300,1.28610,1993,3,7,26
USDCAD,MN,1993-08-01 04:00,1.28500,1.32650,1.28300,1.31960,1993,3,8,30
USDCAD,MN,1993-09-01 04:00,1.31900,1.33800,1.30700,1.33440,1993,3,9,35
USDCAD,MN,1993-10-01 04:00,1.33400,1.34300,1.29800,1.32070,1993,4,10,39
USDCAD,MN,1993-11-01 04:00,1.32020,1.33930,1.29000,1.33580,1993,4,11,44
USDCAD,MN,1993-12-01 04:00,1.33490,1.34900,1.31950,1.32150,1993,4,12,48
USDCAD,MN,1994-01-01 04:00,1.32700,1.33180,1.30750,1.32920,1994,1,1,1
USDCAD,MN,1994-02-01 04:00,1.32950,1.35650,1.32400,1.34950,1994,1,2,5
USDCAD,MN,1994-03-01 04:00,1.34930,1.38520,1.34730,1.38410,1994,1,3,9
USDCAD,MN,1994-04-01 04:00,1.38300,1.39930,1.37000,1.38230,1994,2,4,13
USDCAD,MN,1994-05-01 04:00,1.38180,1.38950,1.37100,1.38350,1994,2,5,17
USDCAD,MN,1994-06-01 04:00,1.38300,1.39730,1.36550,1.38400,1994,2,6,22
USDCAD,MN,1994-07-01 04:00,1.38320,1.39260,1.37500,1.38660,1994,3,7,26
USDCAD,MN,1994-08-01 04:00,1.38560,1.39050,1.36400,1.36750,1994,3,8,31
USDCAD,MN,1994-09-01 04:00,1.36650,1.37220,1.33950,1.34410,1994,3,9,35
USDCAD,MN,1994-10-01 04:00,1.34320,1.35950,1.34200,1.35350,1994,4,10,39
USDCAD,MN,1994-11-01 04:00,1.35280,1.38100,1.35100,1.37650,1994,4,11,44
USDCAD,MN,1994-12-01 04:00,1.37570,1.40950,1.36940,1.40240,1994,4,12,48
USDCAD,MN,1995-01-01 04:00,1.40130,1.42770,1.39500,1.40750,1995,1,1,1
USDCAD,MN,1995-02-01 04:00,1.40600,1.41560,1.38550,1.39130,1995,1,2,5
USDCAD,MN,1995-03-01 04:00,1.38980,1.42330,1.38980,1.39950,1995,1,3,9
USDCAD,MN,1995-04-01 04:00,1.39900,1.40320,1.35500,1.35550,1995,2,4,13
USDCAD,MN,1995-05-01 04:00,1.35500,1.37380,1.34900,1.37000,1995,2,5,18
USDCAD,MN,1995-06-01 04:00,1.37060,1.38520,1.37000,1.37250,1995,2,6,22
USDCAD,MN,1995-07-01 04:00,1.37160,1.37500,1.34700,1.36570,1995,3,7,26
USDCAD,MN,1995-08-01 04:00,1.36500,1.36970,1.33400,1.34370,1995,3,8,31
USDCAD,MN,1995-09-01 04:00,1.34280,1.37410,1.33380,1.34200,1995,3,9,35
USDCAD,MN,1995-10-01 04:00,1.33900,1.37960,1.32700,1.34480,1995,4,10,39
USDCAD,MN,1995-11-01 04:00,1.34380,1.36210,1.34000,1.36060,1995,4,11,44
USDCAD,MN,1995-12-01 04:00,1.36020,1.38300,1.35700,1.36500,1995,4,12,48
USDCAD,MN,1996-01-01 04:00,1.36250,1.38450,1.35100,1.37500,1996,1,1,1
USDCAD,MN,1996-02-01 04:00,1.37600,1.38720,1.36490,1.36980,1996,1,2,5
USDCAD,MN,1996-03-01 04:00,1.37130,1.37450,1.35530,1.36000,1996,1,3,9
USDCAD,MN,1996-04-01 04:00,1.35680,1.36850,1.35300,1.36180,1996,2,4,14
USDCAD,MN,1996-05-01 04:00,1.36170,1.37760,1.35720,1.36900,1996,2,5,18
USDCAD,MN,1996-06-01 04:00,1.36870,1.37160,1.35650,1.36390,1996,2,6,22
USDCAD,MN,1996-07-01 04:00,1.36350,1.37650,1.35750,1.37520,1996,3,7,27
USDCAD,MN,1996-08-01 04:00,1.37370,1.37880,1.36450,1.36840,1996,3,8,31
USDCAD,MN,1996-09-01 04:00,1.36820,1.37500,1.36100,1.36210,1996,3,9,35
USDCAD,MN,1996-10-01 04:00,1.36160,1.36450,1.33700,1.33810,1996,4,10,40
USDCAD,MN,1996-11-01 04:00,1.33800,1.35150,1.32600,1.35150,1996,4,11,44
USDCAD,MN,1996-12-01 04:00,1.35100,1.37250,1.34600,1.37100,1996,4,12,48
USDCAD,MN,1997-01-01 04:00,1.36930,1.37870,1.33380,1.34700,1997,1,1,1
USDCAD,MN,1997-02-01 04:00,1.34700,1.37030,1.34030,1.36830,1997,1,2,5
USDCAD,MN,1997-03-01 04:00,1.36820,1.38600,1.35950,1.38450,1997,1,3,9
USDCAD,MN,1997-04-01 04:00,1.38400,1.40350,1.38280,1.39770,1997,2,4,14
USDCAD,MN,1997-05-01 04:00,1.39700,1.39830,1.36060,1.37720,1997,2,5,18
USDCAD,MN,1997-06-01 04:00,1.37620,1.39750,1.37110,1.38160,1997,2,6,22
USDCAD,MN,1997-07-01 04:00,1.38090,1.38800,1.36580,1.37800,1997,3,7,27
USDCAD,MN,1997-08-01 04:00,1.37750,1.39680,1.37650,1.38850,1997,3,8,31
USDCAD,MN,1997-09-01 04:00,1.38830,1.39500,1.37830,1.38170,1997,3,9,36
USDCAD,MN,1997-10-01 04:00,1.38130,1.41700,1.36870,1.40850,1997,4,10,40
USDCAD,MN,1997-11-01 04:00,1.40780,1.42700,1.39600,1.42310,1997,4,11,44
USDCAD,MN,1997-12-01 04:00,1.42290,1.44170,1.41230,1.42970,1997,4,12,49
USDCAD,MN,1998-01-01 04:00,1.42930,1.46930,1.42080,1.45360,1998,1,1,1
USDCAD,MN,1998-02-01 04:00,1.45320,1.45620,1.41590,1.42370,1998,1,2,5
USDCAD,MN,1998-03-01 04:00,1.42350,1.42980,1.40410,1.41890,1998,1,3,9
USDCAD,MN,1998-04-01 04:00,1.41840,1.44210,1.41440,1.43110,1998,2,4,14
USDCAD,MN,1998-05-01 04:00,1.43080,1.45880,1.43000,1.45710,1998,2,5,18
USDCAD,MN,1998-06-01 04:00,1.45650,1.47680,1.44900,1.46730,1998,2,6,23
USDCAD,MN,1998-07-01 04:00,1.46690,1.51350,1.46020,1.51290,1998,3,7,27
USDCAD,MN,1998-08-01 04:00,1.51250,1.58550,1.51080,1.56650,1998,3,8,31
USDCAD,MN,1998-09-01 04:00,1.56500,1.56850,1.49850,1.52970,1998,3,9,36
USDCAD,MN,1998-10-01 04:00,1.52980,1.56200,1.49800,1.54350,1998,4,10,40
USDCAD,MN,1998-11-01 04:00,1.54380,1.55780,1.51640,1.53450,1998,4,11,44
USDCAD,MN,1998-12-01 04:00,1.53390,1.55480,1.51900,1.53150,1998,4,12,49
USDCAD,MN,1999-01-01 04:00,1.53230,1.54700,1.50170,1.51050,1999,1,1,1
USDCAD,MN,1999-02-01 04:00,1.51110,1.51800,1.48220,1.51010,1999,1,2,5
USDCAD,MN,1999-03-01 04:00,1.50900,1.53170,1.50200,1.50660,1999,1,3,9
USDCAD,MN,1999-04-01 04:00,1.50720,1.50800,1.45420,1.45650,1999,2,4,13
USDCAD,MN,1999-05-01 04:00,1.45660,1.47890,1.44490,1.47370,1999,2,5,17
USDCAD,MN,1999-06-01 04:00,1.47380,1.48620,1.45420,1.46300,1999,2,6,22
USDCAD,MN,1999-07-01 04:00,1.46300,1.51770,1.46130,1.50650,1999,3,7,26
USDCAD,MN,1999-08-01 04:00,1.50610,1.51310,1.47570,1.49190,1999,3,8,30
USDCAD,MN,1999-09-01 04:00,1.49190,1.49930,1.45960,1.46690,1999,3,9,35
USDCAD,MN,1999-10-01 04:00,1.46740,1.49700,1.46170,1.47150,1999,4,10,39
USDCAD,MN,1999-11-01 04:00,1.47060,1.47650,1.45490,1.47350,1999,4,11,44
USDCAD,MN,1999-12-01 04:00,1.47440,1.48530,1.44270,1.44610,1999,4,12,48
USDCAD,MN,2000-01-01 04:00,1.44630,1.46170,1.43200,1.44680,2000,1,1,1
USDCAD,MN,2000-02-01 04:00,1.44780,1.46680,1.43540,1.45040,2000,1,2,5
USDCAD,MN,2000-03-01 04:00,1.45030,1.47730,1.44340,1.44940,2000,1,3,9
USDCAD,MN,2000-04-01 04:00,1.44940,1.48940,1.44700,1.48190,2000,2,4,13
USDCAD,MN,2000-05-01 04:00,1.48060,1.51450,1.47540,1.49630,2000,2,5,18
USDCAD,MN,2000-06-01 04:00,1.49660,1.49680,1.46220,1.47940,2000,2,6,22
USDCAD,MN,2000-07-01 04:00,1.48010,1.49230,1.46290,1.48700,2000,3,7,26
USDCAD,MN,2000-08-01 04:00,1.48640,1.49470,1.47070,1.47180,2000,3,8,31
USDCAD,MN,2000-09-01 04:00,1.47210,1.50810,1.46850,1.50250,2000,3,9,35
USDCAD,MN,2000-10-01 04:00,1.50340,1.53280,1.49200,1.52380,2000,4,10,39
USDCAD,MN,2000-11-01 04:00,1.52350,1.56290,1.52110,1.53570,2000,4,11,44
USDCAD,MN,2000-12-01 04:00,1.53590,1.55450,1.49440,1.49950,2000,4,12,48
USDCAD,MN,2001-01-01 04:00,1.49950,1.51720,1.48980,1.49730,2001,1,1,1
USDCAD,MN,2001-02-01 04:00,1.49730,1.54350,1.48990,1.53670,2001,1,2,5
USDCAD,MN,2001-03-01 04:00,1.53690,1.57950,1.53530,1.57560,2001,1,3,9
USDCAD,MN,2001-04-01 04:00,1.57660,1.58270,1.53450,1.53500,2001,2,4,13
USDCAD,MN,2001-05-01 04:00,1.53500,1.55630,1.52700,1.53740,2001,2,5,18
USDCAD,MN,2001-06-01 04:00,1.53740,1.53880,1.51000,1.51560,2001,2,6,22
USDCAD,MN,2001-07-01 04:00,1.51410,1.54750,1.50690,1.53320,2001,3,7,26
USDCAD,MN,2001-08-01 04:00,1.53350,1.55200,1.52310,1.55120,2001,3,8,31
USDCAD,MN,2001-09-01 04:00,1.54950,1.58120,1.54570,1.57920,2001,3,9,35
USDCAD,MN,2001-10-01 04:00,1.57870,1.58910,1.55540,1.58830,2001,4,10,40
USDCAD,MN,2001-11-01 04:00,1.58820,1.60520,1.57020,1.57120,2001,4,11,44
USDCAD,MN,2001-12-01 04:00,1.57340,1.60550,1.55830,1.59330,2001,4,12,48
USDCAD,MN,2002-01-01 04:00,1.59340,1.61900,1.58260,1.58930,2002,1,1,1
USDCAD,MN,2002-02-01 04:00,1.58960,1.61250,1.58550,1.60110,2002,1,2,5
USDCAD,MN,2002-03-01 04:00,1.60120,1.60330,1.57400,1.59490,2002,1,3,9
USDCAD,MN,2002-04-01 04:00,1.59540,1.60250,1.56020,1.56750,2002,2,4,14
USDCAD,MN,2002-05-01 04:00,1.56790,1.57230,1.52580,1.52740,2002,2,5,18
USDCAD,MN,2002-06-01 04:00,1.53670,1.55240,1.50290,1.51650,2002,2,6,22
USDCAD,MN,2002-07-01 04:00,1.51740,1.59650,1.51080,1.58420,2002,3,7,27
USDCAD,MN,2002-08-01 04:00,1.58420,1.60510,1.54920,1.55880,2002,3,8,31
USDCAD,MN,2002-09-01 04:00,1.55900,1.59160,1.55030,1.58720,2002,3,9,35
USDCAD,MN,2002-10-01 04:00,1.58680,1.59940,1.55530,1.55880,2002,4,10,40
