Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
USDCHF,MN,1971-01-01 04:00,4.31800,4.31800,4.29630,4.29630,1971,1,1,1
USDCHF,MN,1971-02-01 04:00,4.29680,4.30730,4.29570,4.30700,1971,1,2,5
USDCHF,MN,1971-03-01 04:00,4.30730,4.30730,4.29540,4.29540,1971,1,3,9
USDCHF,MN,1971-04-01 04:00,4.29550,4.30520,4.29370,4.29590,1971,2,4,13
USDCHF,MN,1971-05-01 04:00,4.29550,4.29550,4.07330,4.10580,1971,2,5,17
USDCHF,MN,1971-06-01 04:00,4.10590,4.10590,4.08510,4.09890,1971,2,6,22
USDCHF,MN,1971-07-01 04:00,4.09660,4.10610,4.08540,4.08620,1971,3,7,26
USDCHF,MN,1971-08-01 04:00,4.08780,4.08870,3.96510,3.99360,1971,3,8,30
USDCHF,MN,1971-09-01 04:00,4.00240,4.00240,3.95410,3.95410,1971,3,9,35
USDCHF,MN,1971-10-01 04:00,3.95880,3.99480,3.95880,3.99270,1971,4,10,39
USDCHF,MN,1971-11-01 04:00,3.99600,3.99650,3.95260,3.95550,1971,4,11,44
USDCHF,MN,1971-12-01 04:00,3.94890,3.94890,3.87540,3.91470,1971,4,12,48
USDCHF,MN,1972-01-01 04:00,3.91770,3.92160,3.86550,3.87450,1972,1,1,1
USDCHF,MN,1972-02-01 04:00,3.86770,3.87520,3.84470,3.86850,1972,1,2,5
USDCHF,MN,1972-03-01 04:00,3.87110,3.98170,3.81750,3.83580,1972,1,3,9
USDCHF,MN,1972-04-01 04:00,3.83730,3.87900,3.70920,3.86470,1972,2,4,13
USDCHF,MN,1972-05-01 04:00,3.86400,3.87070,3.84320,3.84320,1972,2,5,18
USDCHF,MN,1972-06-01 04:00,3.83510,3.84320,3.73550,3.74250,1972,2,6,22
USDCHF,MN,1972-07-01 04:00,3.74810,3.78110,3.74810,3.77360,1972,3,7,26
USDCHF,MN,1972-08-01 04:00,3.77360,3.79150,3.77360,3.78180,1972,3,8,31
USDCHF,MN,1972-09-01 04:00,3.77930,3.80230,3.77750,3.80230,1972,3,9,35
USDCHF,MN,1972-10-01 04:00,3.80660,3.80660,3.78720,3.79940,1972,4,10,39
USDCHF,MN,1972-11-01 04:00,3.79810,3.80300,3.77390,3.77610,1972,4,11,44
USDCHF,MN,1972-12-01 04:00,3.76580,3.77750,3.75800,3.77070,1972,4,12,48
USDCHF,MN,1973-01-01 04:00,3.77140,3.77140,3.61860,3.62060,1973,1,1,1
USDCHF,MN,1973-02-01 04:00,3.60490,3.61400,3.12990,3.12990,1973,1,2,5
USDCHF,MN,1973-03-01 04:00,3.12990,3.26800,3.12990,3.24360,1973,1,3,9
USDCHF,MN,1973-04-01 04:00,3.26480,3.26480,3.23000,3.24150,1973,2,4,13
USDCHF,MN,1973-05-01 04:00,3.24040,3.25150,3.08640,3.08640,1973,2,5,18
USDCHF,MN,1973-06-01 04:00,3.07410,3.09790,2.92830,2.92830,1973,2,6,22
USDCHF,MN,1973-07-01 04:00,2.89020,2.89020,2.69910,2.84090,1973,3,7,26
USDCHF,MN,1973-08-01 04:00,2.84090,3.06280,2.84090,3.03490,1973,3,8,31
USDCHF,MN,1973-09-01 04:00,3.03120,3.03670,2.99310,3.03030,1973,3,9,35
USDCHF,MN,1973-10-01 04:00,3.02480,3.09980,3.00030,3.09980,1973,4,10,40
USDCHF,MN,1973-11-01 04:00,3.09980,3.23000,3.07690,3.20510,1973,4,11,44
USDCHF,MN,1973-12-01 04:00,3.20310,3.25100,3.17260,3.25100,1973,4,12,48
USDCHF,MN,1974-01-01 04:00,3.33110,3.42700,3.25520,3.25520,1974,1,1,1
USDCHF,MN,1974-02-01 04:00,3.26580,3.26580,3.06560,3.13280,1974,1,2,5
USDCHF,MN,1974-03-01 04:00,3.15060,3.15860,2.98510,3.01570,1974,1,3,9
USDCHF,MN,1974-04-01 04:00,3.04230,3.07690,2.92400,2.93250,1974,2,4,14
USDCHF,MN,1974-05-01 04:00,2.93770,3.00120,2.80900,2.97970,1974,2,5,18
USDCHF,MN,1974-06-01 04:00,2.96120,3.04410,2.92830,3.00030,1974,2,6,22
USDCHF,MN,1974-07-01 04:00,3.01200,3.01200,2.88600,2.96470,1974,3,7,27
USDCHF,MN,1974-08-01 04:00,2.95510,3.01570,2.94550,3.01110,1974,3,8,31
USDCHF,MN,1974-09-01 04:00,3.01110,3.02480,2.94990,2.94990,1974,3,9,35
USDCHF,MN,1974-10-01 04:00,2.94120,2.95160,2.84980,2.87030,1974,4,10,40
USDCHF,MN,1974-11-01 04:00,2.85710,2.85710,2.60760,2.71220,1974,4,11,44
USDCHF,MN,1974-12-01 04:00,2.74350,2.74350,2.51260,2.54450,1974,4,12,48
USDCHF,MN,1975-01-01 04:00,2.57270,2.57730,2.41250,2.49560,1975,1,1,1
USDCHF,MN,1975-02-01 04:00,2.52020,2.54780,2.39520,2.40330,1975,1,2,5
USDCHF,MN,1975-03-01 04:00,2.40210,2.54320,2.40210,2.53810,1975,1,3,9
USDCHF,MN,1975-04-01 04:00,2.52020,2.57930,2.52020,2.55820,1975,2,4,14
USDCHF,MN,1975-05-01 04:00,2.55750,2.55950,2.47590,2.50190,1975,2,5,18
USDCHF,MN,1975-06-01 04:00,2.49810,2.50690,2.48200,2.50250,1975,2,6,22
USDCHF,MN,1975-07-01 04:00,2.51190,2.70270,2.51190,2.69690,1975,3,7,27
USDCHF,MN,1975-08-01 04:00,2.69830,2.69830,2.65820,2.68460,1975,3,8,31
USDCHF,MN,1975-09-01 04:00,2.68380,2.75330,2.67380,2.74500,1975,3,9,36
USDCHF,MN,1975-10-01 04:00,2.71220,2.72330,2.62470,2.62470,1975,4,10,40
USDCHF,MN,1975-11-01 04:00,2.62330,2.67880,2.62330,2.67670,1975,4,11,44
USDCHF,MN,1975-12-01 04:00,2.66670,2.66670,2.61920,2.62120,1975,4,12,49
USDCHF,MN,1976-01-01 04:00,2.61780,2.61780,2.59070,2.60210,1976,1,1,1
USDCHF,MN,1976-02-01 04:00,2.56810,2.59470,2.55100,2.56870,1976,1,2,5
USDCHF,MN,1976-03-01 04:00,2.59070,2.59200,2.53290,2.53870,1976,1,3,10
USDCHF,MN,1976-04-01 04:00,2.52650,2.54450,2.51380,2.51570,1976,2,4,14
USDCHF,MN,1976-05-01 04:00,2.50250,2.52210,2.46060,2.46060,1976,2,5,18
USDCHF,MN,1976-06-01 04:00,2.42600,2.50380,2.39410,2.46850,1976,2,6,23
USDCHF,MN,1976-07-01 04:00,2.46970,2.51260,2.46910,2.48200,1976,3,7,27
USDCHF,MN,1976-08-01 04:00,2.47590,2.50500,2.47040,2.47830,1976,3,8,31
USDCHF,MN,1976-09-01 04:00,2.47160,2.48320,2.44500,2.44500,1976,3,9,36
USDCHF,MN,1976-10-01 04:00,2.45160,2.46060,2.42900,2.43310,1976,4,10,40
USDCHF,MN,1976-11-01 04:00,2.43960,2.44800,2.42780,2.44500,1976,4,11,45
USDCHF,MN,1976-12-01 04:00,2.45280,2.45580,2.43610,2.44740,1976,4,12,49
