Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
USDJPY,MN,1971-01-01 04:00,357.730,358.440,357.720,357.720,1971,1,1,1
USDJPY,MN,1971-02-01 04:00,357.670,357.670,357.490,357.560,1971,1,2,5
USDJPY,MN,1971-03-01 04:00,357.630,357.630,357.420,357.420,1971,1,3,9
USDJPY,MN,1971-04-01 04:00,357.490,357.620,357.400,357.400,1971,2,4,13
USDJPY,MN,1971-05-01 04:00,357.410,357.530,357.140,357.400,1971,2,5,17
USDJPY,MN,1971-06-01 04:00,357.460,357.460,357.370,357.400,1971,2,6,22
USDJPY,MN,1971-07-01 04:00,357.400,357.460,357.360,357.390,1971,3,7,26
USDJPY,MN,1971-08-01 04:00,357.410,357.410,339.850,339.850,1971,3,8,30
USDJPY,MN,1971-09-01 04:00,341.010,341.010,335.350,335.350,1971,3,9,35
USDJPY,MN,1971-10-01 04:00,333.390,333.390,329.000,329.500,1971,4,10,39
USDJPY,MN,1971-11-01 04:00,329.450,330.870,327.060,327.440,1971,4,11,44
USDJPY,MN,1971-12-01 04:00,327.600,327.600,314.960,315.010,1971,4,12,48
USDJPY,MN,1972-01-01 04:00,314.860,314.960,310.080,310.560,1972,1,1,1
USDJPY,MN,1972-02-01 04:00,310.370,310.370,302.110,303.400,1972,1,2,5
USDJPY,MN,1972-03-01 04:00,303.210,304.320,301.660,304.320,1972,1,3,9
USDJPY,MN,1972-04-01 04:00,304.140,305.160,302.110,304.880,1972,2,4,13
USDJPY,MN,1972-05-01 04:00,304.410,305.340,303.580,304.690,1972,2,5,18
USDJPY,MN,1972-06-01 04:00,304.410,304.690,294.120,300.930,1972,2,6,22
USDJPY,MN,1972-07-01 04:00,300.840,301.570,300.030,301.390,1972,3,7,26
USDJPY,MN,1972-08-01 04:00,301.200,301.200,300.930,301.110,1972,3,8,31
USDJPY,MN,1972-09-01 04:00,301.110,301.200,301.020,301.110,1972,3,9,35
USDJPY,MN,1972-10-01 04:00,301.110,301.200,300.480,301.110,1972,4,10,39
USDJPY,MN,1972-11-01 04:00,301.020,301.200,299.940,301.110,1972,4,11,44
USDJPY,MN,1972-12-01 04:00,301.110,302.020,301.070,301.660,1972,4,12,48
USDJPY,MN,1973-01-01 04:00,301.390,302.570,301.200,301.390,1973,1,1,1
USDJPY,MN,1973-02-01 04:00,300.930,300.930,263.020,265.670,1973,1,2,5
USDJPY,MN,1973-03-01 04:00,265.600,266.030,254.450,265.960,1973,1,3,9
USDJPY,MN,1973-04-01 04:00,266.030,266.030,264.550,265.530,1973,2,4,13
USDJPY,MN,1973-05-01 04:00,265.530,265.670,262.470,264.690,1973,2,5,18
USDJPY,MN,1973-06-01 04:00,264.060,265.180,262.880,263.160,1973,2,6,22
USDJPY,MN,1973-07-01 04:00,265.250,266.170,259.400,263.440,1973,3,7,26
USDJPY,MN,1973-08-01 04:00,263.440,265.600,263.440,265.390,1973,3,8,31
USDJPY,MN,1973-09-01 04:00,265.460,265.600,265.250,265.600,1973,3,9,35
USDJPY,MN,1973-10-01 04:00,265.600,266.950,265.600,266.950,1973,4,10,40
USDJPY,MN,1973-11-01 04:00,270.270,280.660,270.270,280.110,1973,4,11,44
USDJPY,MN,1973-12-01 04:00,280.110,280.660,280.030,280.270,1973,4,12,48
USDJPY,MN,1974-01-01 04:00,280.820,305.340,280.820,298.770,1974,1,1,1
USDJPY,MN,1974-02-01 04:00,298.860,298.860,280.580,288.430,1974,1,2,5
USDJPY,MN,1974-03-01 04:00,292.060,292.740,274.420,276.090,1974,1,3,9
USDJPY,MN,1974-04-01 04:00,280.110,280.110,275.480,279.640,1974,2,4,14
USDJPY,MN,1974-05-01 04:00,279.410,281.930,277.390,281.930,1974,2,5,18
USDJPY,MN,1974-06-01 04:00,283.690,284.250,281.850,284.250,1974,2,6,22
USDJPY,MN,1974-07-01 04:00,285.310,298.240,285.310,298.240,1974,3,7,27
USDJPY,MN,1974-08-01 04:00,299.580,303.860,299.580,302.940,1974,3,8,31
USDJPY,MN,1974-09-01 04:00,302.660,302.750,294.810,298.330,1974,3,9,35
USDJPY,MN,1974-10-01 04:00,298.150,300.120,297.970,299.940,1974,4,10,40
USDJPY,MN,1974-11-01 04:00,300.480,300.480,299.670,300.300,1974,4,11,44
USDJPY,MN,1974-12-01 04:00,300.390,301.200,299.760,301.020,1974,4,12,48
USDJPY,MN,1975-01-01 04:00,300.660,301.020,294.990,297.970,1975,1,1,1
USDJPY,MN,1975-02-01 04:00,297.440,297.440,285.630,286.450,1975,1,2,5
USDJPY,MN,1975-03-01 04:00,285.390,294.030,284.660,294.030,1975,1,3,9
USDJPY,MN,1975-04-01 04:00,290.870,294.550,290.870,292.230,1975,2,4,14
USDJPY,MN,1975-05-01 04:00,292.140,292.230,290.360,291.550,1975,2,5,18
USDJPY,MN,1975-06-01 04:00,291.460,297.000,291.040,295.680,1975,2,6,22
USDJPY,MN,1975-07-01 04:00,295.680,297.800,295.420,297.710,1975,3,7,27
USDJPY,MN,1975-08-01 04:00,297.890,298.150,297.620,297.970,1975,3,8,31
USDJPY,MN,1975-09-01 04:00,297.970,303.310,297.800,302.850,1975,3,9,36
USDJPY,MN,1975-10-01 04:00,302.570,303.120,301.110,301.750,1975,4,10,40
USDJPY,MN,1975-11-01 04:00,301.750,303.210,301.750,303.120,1975,4,11,44
USDJPY,MN,1975-12-01 04:00,304.410,306.840,304.410,305.160,1975,4,12,49
USDJPY,MN,1976-01-01 04:00,305.060,306.000,303.580,303.670,1976,1,1,1
USDJPY,MN,1976-02-01 04:00,303.210,303.210,300.120,302.110,1976,1,2,5
USDJPY,MN,1976-03-01 04:00,301.660,301.660,299.580,299.580,1976,1,3,10
USDJPY,MN,1976-04-01 04:00,299.490,300.030,297.440,299.040,1976,2,4,14
USDJPY,MN,1976-05-01 04:00,298.950,300.030,297.890,300.030,1976,2,5,18
USDJPY,MN,1976-06-01 04:00,300.390,300.480,296.030,297.970,1976,2,6,23
USDJPY,MN,1976-07-01 04:00,296.910,297.180,292.650,293.260,1976,3,7,27
USDJPY,MN,1976-08-01 04:00,292.910,293.000,287.850,289.350,1976,3,8,31
USDJPY,MN,1976-09-01 04:00,288.930,288.930,286.040,286.860,1976,3,9,36
USDJPY,MN,1976-10-01 04:00,287.110,294.380,287.110,294.380,1976,4,10,40
USDJPY,MN,1976-11-01 04:00,295.860,297.090,293.770,297.090,1976,4,11,45
USDJPY,MN,1976-12-01 04:00,296.910,297.890,292.140,293.080,1976,4,12,49
USDJPY,MN,1977-01-01 04:00,292.480,292.910,288.180,288.430,1977,1,1,1
USDJPY,MN,1977-02-01 04:00,288.020,288.350,281.690,282.810,1977,1,2,5
USDJPY,MN,1977-03-01 04:00,282.490,282.490,276.630,277.550,1977,1,3,9
USDJPY,MN,1977-04-01 04:00,276.170,278.780,270.710,277.780,1977,2,4,13
USDJPY,MN,1977-05-01 04:00,278.010,278.160,275.940,277.280,1977,2,5,17
USDJPY,MN,1977-06-01 04:00,277.320,277.320,267.450,267.590,1977,2,6,22
USDJPY,MN,1977-07-01 04:00,267.130,267.130,263.090,266.810,1977,3,7,26
USDJPY,MN,1977-08-01 04:00,267.130,267.920,265.530,267.500,1977,3,8,31
USDJPY,MN,1977-09-01 04:00,268.170,268.170,263.710,263.710,1977,3,9,35
USDJPY,MN,1977-10-01 04:00,260.720,261.100,249.130,249.130,1977,4,10,39
USDJPY,MN,1977-11-01 04:00,246.730,249.000,239.750,244.020,1977,4,11,44
USDJPY,MN,1977-12-01 04:00,243.070,243.070,237.810,239.980,1977,4,12,48
USDJPY,MN,1978-01-01 04:00,237.590,242.420,237.420,241.600,1978,1,1,1
USDJPY,MN,1978-02-01 04:00,241.600,241.840,238.100,238.100,1978,1,2,5
USDJPY,MN,1978-03-01 04:00,238.270,238.410,222.270,229.890,1978,1,3,9
USDJPY,MN,1978-04-01 04:00,218.340,228.100,218.340,224.970,1978,2,4,13
