Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
USDJPY,W1,1971-01-02 21:00,357.730,357.870,357.730,357.820,1971,1,1,1
USDJPY,W1,1971-01-09 21:00,357.950,358.440,357.950,358.400,1971,1,1,1
USDJPY,W1,1971-01-16 21:00,358.290,358.400,357.900,357.900,1971,1,1,2
USDJPY,W1,1971-01-23 21:00,357.730,357.830,357.720,357.720,1971,1,1,3
USDJPY,W1,1971-01-30 21:00,357.670,357.670,357.510,357.530,1971,1,1,4
USDJPY,W1,1971-02-06 21:00,357.490,357.500,357.490,357.500,1971,1,2,5
USDJPY,W1,1971-02-13 21:00,357.530,357.560,357.530,357.560,1971,1,2,6
USDJPY,W1,1971-02-20 21:00,357.600,357.600,357.550,357.560,1971,1,2,7
USDJPY,W1,1971-02-27 21:00,357.630,357.630,357.450,357.590,1971,1,2,8
USDJPY,W1,1971-03-06 21:00,357.550,357.590,357.460,357.580,1971,1,3,9
USDJPY,W1,1971-03-13 21:00,357.540,357.560,357.490,357.560,1971,1,3,10
USDJPY,W1,1971-03-20 21:00,357.440,357.530,357.440,357.470,1971,1,3,11
USDJPY,W1,1971-03-27 21:00,357.440,357.530,357.420,357.530,1971,1,3,12
USDJPY,W1,1971-04-03 21:00,357.500,357.550,357.460,357.500,1971,2,4,13
USDJPY,W1,1971-04-10 21:00,357.500,357.620,357.500,357.540,1971,2,4,14
USDJPY,W1,1971-04-17 21:00,357.490,357.490,357.490,357.490,1971,2,4,15
USDJPY,W1,1971-04-24 21:00,357.500,357.500,357.400,357.400,1971,2,4,16
USDJPY,W1,1971-05-01 21:00,357.410,357.410,357.400,357.410,1971,2,5,17
USDJPY,W1,1971-05-08 21:00,357.140,357.530,357.140,357.490,1971,2,5,18
USDJPY,W1,1971-05-15 21:00,357.400,357.460,357.400,357.400,1971,2,5,19
USDJPY,W1,1971-05-22 21:00,357.400,357.440,357.400,357.400,1971,2,5,20
